Export;EXP-2024-001 (2024-08-26T23:31:52+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-07-01T01:00:00+01:00;2024-07-01T02:00:00+01:00;2.3;6.2;3.91;7.27;3.7;10.19;3.67;9.06;;11.86;9.73;8.56;9;3.3;3.47;3.72;1.23;4.49;9.3;5.78;1.79;3.01;3.14;4.12;2.84;1.6;1.69;1.93;2.17;3.74;4.67;9.1;3.88;2.57;4.82;4.87;5.74;4.12;1.78;1.43;2.24;1.28;2.3;2.02
NO2;uur;µg/m³;2024-07-01T02:00:00+01:00;2024-07-01T03:00:00+01:00;3.61;9.17;4.8;5.81;4.12;9.01;3.9;9.8;;12.42;9.8;7.09;8.65;3.43;3.73;2.71;1.73;3.56;7.84;6.38;0.94;3.04;3.35;7.1;2.78;2.15;1.48;1.36;2.49;5.56;4.13;6.33;4.97;3.57;3.84;3.82;6.58;4.84;2.17;1;2.26;1.32;2.44;1.52
NO2;uur;µg/m³;2024-07-01T03:00:00+01:00;2024-07-01T04:00:00+01:00;5.4;8.32;4.82;4.85;5.67;7.94;3.45;10.09;;11.14;10.81;6.24;7.37;3.51;2.58;3.02;2.22;5.8;6.99;11.55;1.13;2.59;3.59;8.86;2.4;1.8;1.35;1.07;2.74;5.4;4.84;9.41;4.6;4.92;4.7;3.84;7.4;5.7;2.46;1.15;2.48;1.55;2.35;1.72
NO2;uur;µg/m³;2024-07-01T04:00:00+01:00;2024-07-01T05:00:00+01:00;6.7;5.28;5.06;6.42;5.37;7.91;3.98;10.16;;19.34;12.16;7.38;7.16;3.76;3.01;3.1;2.84;6.09;10.01;15.78;1.2;5.15;6.74;17.2;4.05;2.32;2.35;1.73;2.19;7.58;10.63;12.83;5.02;5.31;4.66;4.87;10.86;6.36;1.75;1.59;2.21;1.85;2.24;1.79
NO2;uur;µg/m³;2024-07-01T05:00:00+01:00;2024-07-01T06:00:00+01:00;7.01;11.23;5.65;9.87;6.53;6.85;4.02;15.23;;31.95;17.31;8.65;8.01;5.04;2.67;4.28;2.58;10.57;10.95;29.87;0.56;7.12;11.85;27.93;5.25;3.54;5.08;2.58;3.14;17.61;14.05;21.35;6.65;6.66;4.75;6.65;18.1;8.33;3.96;1.06;2.3;1.57;6.21;2.14
NO2;uur;µg/m³;2024-07-01T06:00:00+01:00;2024-07-01T07:00:00+01:00;6.54;10.58;6.19;12.05;6.84;6.59;3.55;14.93;;35.83;18.71;8.42;8.04;7.01;2.52;4.86;2.66;10.78;9.35;16.41;1.75;9.43;7.03;19.61;4.81;3.9;8.39;2.26;2.35;17.48;12.07;16.6;10.4;5.5;5.14;6.52;23.89;9.82;5.41;0.89;1.76;1.24;7.74;6.06
NO2;uur;µg/m³;2024-07-01T07:00:00+01:00;2024-07-01T08:00:00+01:00;4.88;6.37;4.62;13.5;9.17;7.27;2.81;11.54;;22.64;12.38;5.69;5.83;3.94;2.21;2.77;2.79;7.71;9.99;16.95;0.75;17.13;6.23;12.76;3.9;5.09;8.36;1.39;2.74;12.88;8.49;15.24;6.78;3.31;3.16;5.38;20.7;10.35;2.01;1.52;1.37;1.19;8.38;5.09
NO2;uur;µg/m³;2024-07-01T08:00:00+01:00;2024-07-01T09:00:00+01:00;5.56;4.49;4.31;12.55;6.82;6.4;2.25;8.63;;21;19.81;6.15;3.85;1.76;2.73;2.39;2.79;6.27;10.65;8.14;0.57;12.08;5.45;8.28;3.39;3.51;7.21;1.47;1.75;10.53;8.16;13.4;5.41;2.81;3.43;4.83;12.51;6.37;1.83;1.07;1.23;1.09;8.17;1.53
NO2;uur;µg/m³;2024-07-01T09:00:00+01:00;2024-07-01T10:00:00+01:00;4.32;2.53;4.24;10.71;5.31;10.64;2.06;9.49;;20.48;21.62;6.3;5.84;2.55;2.86;1.79;2.16;10.43;8.82;5.69;1.38;10.53;;7.53;3.37;2.12;6.77;1.4;1.22;8.16;5.64;11.33;4.02;2.45;2.34;6.62;13.21;5.82;1.82;0.43;0.98;1.35;5.72;1.23
NO2;uur;µg/m³;2024-07-01T10:00:00+01:00;2024-07-01T11:00:00+01:00;3.81;3.4;4.05;12.58;5.43;7.17;2.86;12.84;;16.52;14.4;4.16;6.2;2.04;2.11;1.43;1.76;6.67;8.55;5.29;0.78;5.72;;6.95;3.15;3.23;6.1;1.22;1.46;8.69;5.49;11.32;3.41;2.44;2.24;6.03;15.77;7.33;1.17;1.03;0.83;1.39;8.67;1.05
NO2;uur;µg/m³;2024-07-01T11:00:00+01:00;2024-07-01T12:00:00+01:00;3.28;3.22;3.79;8.83;5.22;6.4;1.24;12.59;;12.55;10.57;4.63;6.22;;2.7;1.57;;5.33;4.95;4.98;0.94;8.68;;8.46;3.51;2.48;5.85;1.12;1.03;5.83;5.22;9.62;2.43;1.99;3.25;4.55;14.79;5.67;1.34;0.32;0.83;1.42;9.82;1.79
NO2;uur;µg/m³;2024-07-01T12:00:00+01:00;2024-07-01T13:00:00+01:00;3.83;3.35;3.93;8.16;3.92;6.2;0.72;9.28;;11.18;8.88;4.17;6.19;;1.47;2.75;;4.59;2.9;6.28;1.38;8.29;4.96;8.49;4.14;2.08;8.68;1.63;1.33;6.31;4.27;9.45;2.25;1.93;2.06;5.04;12.31;4.24;1.28;0.6;0.39;1.68;9.73;1.09
NO2;uur;µg/m³;2024-07-01T13:00:00+01:00;2024-07-01T14:00:00+01:00;3.04;2.73;6.26;10.56;7.95;5.5;0.82;8.61;;8.9;3.74;3.9;5.89;;1.26;2.42;;4.2;1.68;7.17;1.55;7.58;4.23;10.44;5.26;3.2;10.32;2.44;1.01;7.27;4.01;9.53;2.16;2.1;2.05;4.73;11.64;3.41;1.18;0.48;0.7;1.27;8.83;1.82
NO2;uur;µg/m³;2024-07-01T14:00:00+01:00;2024-07-01T15:00:00+01:00;4.27;2.77;5.39;10.94;6.16;4.54;0.82;10.92;;14.71;3.17;2.69;4.36;2.31;1.57;2.4;;5.61;1.71;12.78;1.28;8.54;4.97;15.94;8.65;2.92;9.38;1.72;1.68;9.51;5.36;11.51;2.5;1.97;2.04;7.39;16.52;4.92;1.22;0.87;0.79;1.31;9.11;1.44
NO2;uur;µg/m³;2024-07-01T15:00:00+01:00;2024-07-01T16:00:00+01:00;3.9;2.89;3.15;9.65;3.37;4.38;1.26;11.58;;14.28;3.07;2.75;4.41;2.15;2.03;1.33;5.37;9.41;1.73;11.78;1.94;11.59;6.27;11.98;11.26;3.77;11.03;1.76;2.13;8.01;4.94;10.3;3.04;3.23;2.08;16.11;13.61;5.17;1.68;1.4;1.17;1.43;8.69;1.18
NO2;uur;µg/m³;2024-07-01T16:00:00+01:00;2024-07-01T17:00:00+01:00;3.44;2.86;2.63;11.01;3.79;3.59;1.33;13.08;18.59;11.79;3.24;2.98;4.09;2.38;1.68;1.82;3.55;8.15;1.8;5.65;1.67;11.01;5.74;7.12;12.59;3.15;10.46;2.41;2.15;8.58;6.5;11.79;3.26;4.19;3.72;3.95;18.03;5.41;2.28;1.43;1.51;1.32;6.89;3.1
NO2;uur;µg/m³;2024-07-01T17:00:00+01:00;2024-07-01T18:00:00+01:00;4.01;3.36;3.02;7.34;3.19;4.48;1.64;12.35;14;11.94;2.84;3.57;2.88;3.4;1.76;1.92;8.62;8.89;2.41;4.34;1.68;14.61;8.36;8.49;11.7;2.74;9.06;4.72;2.17;9.25;5.97;10.22;3.45;4.19;2.9;3.17;10.72;4.84;2.8;1.8;1.03;1.25;6.38;3.3
NO2;uur;µg/m³;2024-07-01T18:00:00+01:00;2024-07-01T19:00:00+01:00;5.43;6.73;3.65;7.96;4.22;4.23;1.55;13.35;12.05;9.02;2.96;3.74;3.05;6.49;1.3;0.95;4.82;8.8;2.65;4.94;4.49;11.77;5.49;5.56;11.37;2.51;8.55;4.77;2.94;7.47;5.3;10.37;3.57;4.93;3.04;3.03;13.24;5.02;2.52;2.23;1.37;3.44;4.94;3.3
NO2;uur;µg/m³;2024-07-01T19:00:00+01:00;2024-07-01T20:00:00+01:00;5.63;7.19;7.45;9.6;7.3;4.13;1.78;9.49;9.21;11.56;3.96;4.36;3.14;9.47;3.24;3.45;7.32;8.28;2.94;5.78;4.79;14.38;8.89;5.86;14.15;3.41;10.91;7.29;3.02;7.36;6.19;10.6;4.24;5.05;4.59;4.13;13.5;7.93;2.5;1.95;1.93;3.07;5;4.61
NO2;uur;µg/m³;2024-07-01T20:00:00+01:00;2024-07-01T21:00:00+01:00;5.11;8.13;8.34;11.5;10.24;5.01;3.93;10.08;8.52;20.04;4.78;5.77;3.54;6.57;4.77;3.09;8.11;16.3;3.53;9.21;7.36;13.87;11.79;8.51;15.26;4;12.47;6.73;4.42;8.58;8.83;13.08;4.93;7.57;6.14;6.4;16.56;9.19;2.79;1.4;2.07;1.7;5.72;4.21
NO2;uur;µg/m³;2024-07-01T21:00:00+01:00;2024-07-01T22:00:00+01:00;8.29;9.28;7.81;12.33;9.18;5.11;9.89;10.08;7.96;14.27;6.73;8.57;4.77;4.88;9.81;5.2;12.06;16.55;5.69;7.78;5.98;15.91;16.17;16.13;16.57;4.43;12.17;7.92;6.81;11.79;14.57;13.2;7.48;7.73;4.64;5.12;16.64;10.78;1.95;2.21;2.14;2.01;5.43;3.66
NO2;uur;µg/m³;2024-07-01T22:00:00+01:00;2024-07-01T23:00:00+01:00;7.97;11.83;7.63;7.76;7.33;12.74;11.71;11.16;8.2;15.29;9.99;7.46;5.81;6.81;8.14;7.46;9.37;22.85;8.08;9.08;7.98;12.09;12.57;16.67;10.82;6.08;10.81;5.52;9.87;12.84;11.38;14.25;11.16;7.41;4.8;6.56;15.96;11.84;2.28;2.42;1.88;1.24;5.02;1.93
NO2;uur;µg/m³;2024-07-01T23:00:00+01:00;2024-07-02T00:00:00+01:00;8.24;21.75;7.91;9.1;6.79;13.33;13.76;9.97;11.43;13;10.08;8.97;8.1;7.9;4.46;6.28;5.03;12.71;10.14;9.35;4.77;6.77;6.32;18.53;6.55;3.17;7.78;5.2;6.89;9.07;10.07;11.35;8.64;8;4.52;9.17;12.56;8.36;4.31;1.75;1.44;1.67;3.32;1.38
NO2;uur;µg/m³;2024-07-02T00:00:00+01:00;2024-07-02T01:00:00+01:00;9.76;12.52;5.58;7.44;6.45;30.94;11.75;11.61;13.42;12.93;11.78;6.89;13.49;7.04;5.81;6.85;5.66;16.06;5;8.16;2.75;7.06;6.91;9.82;6.68;3.18;4.61;6.8;3.66;6.31;5.58;4.73;5.98;5.53;4.84;6.85;7.87;6.71;5.22;3.44;2.64;2.72;3.65;2.38
NO2;uur;µg/m³;2024-07-02T01:00:00+01:00;2024-07-02T02:00:00+01:00;10.06;11.24;5.29;6.41;5.93;22.48;11.24;13.09;12.41;7.26;5.28;5.47;12.66;8.78;3.5;6.43;8.66;8.85;3.44;6.8;3.25;7.7;8.69;9.44;8.22;2.46;4.7;4.17;3.17;4.44;4.28;4.97;3.53;6.25;6.93;6.99;8.02;7.04;3.32;2.66;2.58;3.08;4.61;2.24
NO2;uur;µg/m³;2024-07-02T02:00:00+01:00;2024-07-02T03:00:00+01:00;10.03;17.43;5.08;7.46;6.79;9.15;8.98;11.94;10.56;6.67;6.64;4.73;10.89;9.71;3.01;4.96;4.75;17.36;3.35;4.16;2.25;4.44;4.43;11.93;4.78;2.41;4.09;4.28;3.17;4.55;4.54;5.79;4.08;8.23;8.86;4.52;9.33;8.69;2.35;1.43;2.67;1.92;2.74;2.42
NO2;uur;µg/m³;2024-07-02T03:00:00+01:00;2024-07-02T04:00:00+01:00;9.25;17.69;5.19;10.2;8.87;10.96;4.31;8.87;7.88;7.2;6.29;3.94;8.8;5.63;3.44;2.98;3.8;6.15;3.56;6.55;2.61;4.34;5.29;18.48;4.83;2.44;4.18;3.85;2.92;4.19;5.69;6.64;4.55;6.64;8.33;3.22;6.11;5.48;2.06;1.34;3.15;1.03;1.66;1.45
NO2;uur;µg/m³;2024-07-02T04:00:00+01:00;2024-07-02T05:00:00+01:00;7.14;16.06;4.59;11.15;9.1;15.95;4.42;10.71;14.53;10.81;5.52;3.97;10.82;5.46;4.95;6.88;4.4;11.52;4.48;9.71;2.22;5.77;8.19;17.32;10.07;2.81;4.98;2.66;5.54;5.75;7.13;11.2;4.19;4.16;8.68;3.91;8.22;5.4;1.41;1.22;2.47;1.05;2.39;2.07
NO2;uur;µg/m³;2024-07-02T05:00:00+01:00;2024-07-02T06:00:00+01:00;8.53;10.84;6.45;14.76;10.07;8.1;6.38;12.98;21.14;21.3;7.71;4.82;9;6.61;4.14;5.71;4.35;14.71;5.83;12.33;1.66;7.9;12.11;35.2;10.88;3.01;8.35;3.71;4.32;11.21;13.7;17.7;5.22;4.82;6.42;4.01;11.73;6.22;2.81;1.11;1.64;0.88;5.25;3.51
NO2;uur;µg/m³;2024-07-02T06:00:00+01:00;2024-07-02T07:00:00+01:00;10.9;13.43;12.5;19.21;11.79;5.54;8.34;14.65;20.1;31.59;13.8;4.96;8.43;7.43;4.38;3.85;5.91;17.57;6.76;19.05;1.55;9.45;10.92;18.63;6.51;4.59;8.92;4.28;3.95;18.84;17.46;17.15;11.08;6.19;5.77;4.26;18.6;9.63;4.02;1.36;1.73;1.33;8.86;7.13
NO2;uur;µg/m³;2024-07-02T07:00:00+01:00;2024-07-02T08:00:00+01:00;7.99;7.37;11.93;19.14;10.82;4.53;7.75;13.07;15.95;29.56;18.98;6.46;5.44;6.47;4.04;4.91;6.63;11.96;11.44;17.6;0.95;13.48;10.18;14.4;5.97;2.13;25.55;3.38;3.58;16.24;17.47;17.67;9.84;5.62;4.97;5.02;23.23;10.48;2.54;0.88;1.76;1.23;10.89;7.92
NO2;uur;µg/m³;2024-07-02T08:00:00+01:00;2024-07-02T09:00:00+01:00;7.33;6.12;8.46;17.36;12.17;4.39;5.9;9.69;14.86;24.15;17.09;6.97;5.69;7.36;3.13;4.37;3.9;7.78;8.56;10.1;1.11;9.13;7.1;12.63;5.41;3.61;22.42;3.83;9.22;7.66;13.06;24.22;6.06;4.13;5.66;5.68;19.27;9.74;3.21;1.49;1.75;1.23;8.14;4.41
NO2;uur;µg/m³;2024-07-02T09:00:00+01:00;2024-07-02T10:00:00+01:00;7.81;6.35;6.66;15.31;9.33;6.45;5.43;10.24;13.95;10.6;10.88;5.22;5.88;7.48;3.56;3.95;3.67;11.49;6.46;5.39;0.5;8.49;5.1;10.55;5.21;7.56;11.68;1.9;6.04;6.39;11.36;24.58;6.14;5.73;6.54;3.73;19.66;10.09;2.16;1.49;2;0.63;5.62;2.81
NO2;uur;µg/m³;2024-07-02T10:00:00+01:00;2024-07-02T11:00:00+01:00;7.69;7.64;6.05;11.55;6.33;3.73;6.85;11.69;12.38;8.22;7.23;5.89;4.82;4.24;3.19;3.74;4.18;10.78;7.59;5.18;0.41;7.81;5.65;13.76;4.73;8.48;4.66;2;8.3;5.6;11.27;19.01;4.91;5.83;3.32;2.48;21.53;9.99;2.35;1.12;1.6;0.95;8.94;2.76
NO2;uur;µg/m³;2024-07-02T11:00:00+01:00;2024-07-02T12:00:00+01:00;7.53;4.65;5.73;10.92;6.84;4.2;8.3;9.62;10.1;8.61;4.74;6.24;3.86;4.23;2.19;3.49;3.29;12.65;6.84;7.19;0.7;8.64;4.95;10.52;3.86;2.53;5.63;2.1;2;7.19;9.58;16.43;5.67;4.35;2.35;1.78;19.29;8.63;2.05;1.12;0.97;0.67;8.66;1.52
NO2;uur;µg/m³;2024-07-02T12:00:00+01:00;2024-07-02T13:00:00+01:00;5.01;3.08;4.87;10.19;6.76;4.27;4.65;9.96;13.74;8.45;7.8;4.86;4.7;5.49;2.21;6.54;3.03;6.2;4.84;4.49;0.38;9.32;4.79;10.1;3.74;3.13;3.96;0.95;7.14;6.55;9.93;15.64;5.12;2.3;2.13;2.26;11.89;8.71;1.6;1.21;1.04;0.84;9.68;1.42
NO2;uur;µg/m³;2024-07-02T13:00:00+01:00;2024-07-02T14:00:00+01:00;4.13;2.95;3.21;12.28;7.75;3.39;3.73;11.74;20.12;5.78;5.52;4.33;5.72;5.55;2.37;2.53;2.81;7.17;6.15;5.26;0.12;7.02;4.73;10.22;3.78;2.03;4.13;1.39;2.01;4.81;10.24;14.83;3.75;3.26;2.65;1.9;14.69;7.7;1.66;1.22;1.71;1.12;9.15;1.36
NO2;uur;µg/m³;2024-07-02T14:00:00+01:00;2024-07-02T15:00:00+01:00;4.92;3.77;5.11;15.71;5.51;1.69;3.39;7.82;18.2;8.06;5.84;6.8;3.13;4.15;1.69;1.68;2.41;9.54;5.09;5.28;0.62;6.47;5.53;9.96;3.24;3.65;5.14;0.99;2.18;6.97;7.6;15.77;3.58;1.32;1.78;1.49;15.92;7.61;1.61;0.81;0.8;0.64;12.1;1.17
NO2;uur;µg/m³;2024-07-02T15:00:00+01:00;2024-07-02T16:00:00+01:00;6.39;4.33;6.23;20.97;5.3;2.09;6.44;9.13;22.18;13.85;6.8;5.01;2.98;4.12;1.23;4;2.78;3.69;4.92;4.08;0.45;7.48;5.46;8.03;3.23;1;4.08;1.15;1.57;7.61;8.35;14.59;3.46;1.41;1.45;1.78;14.5;8.69;0.79;0.95;1.58;0.64;12.17;0.99
NO2;uur;µg/m³;2024-07-02T16:00:00+01:00;2024-07-02T17:00:00+01:00;5.73;4.53;6.76;16.87;4.54;2.51;5.01;9.15;13.79;10.15;5.08;3.78;2.95;5.5;1.84;3.76;2.46;5.28;4.26;3.32;0.36;7.25;4.55;8.07;3.55;1.17;5.09;1.3;1.09;7.49;7.91;11.54;3.42;1.82;1.93;1.33;16.12;8.33;0.75;1.22;1.2;0.84;10.41;1.35
NO2;uur;µg/m³;2024-07-02T17:00:00+01:00;2024-07-02T18:00:00+01:00;4.74;5.16;3.98;13.23;3.71;1.34;3.57;7.25;8.38;5.78;4.37;5.88;2.53;4.6;1.08;3.31;2.6;4.27;3.62;2.91;0.39;6.42;4.25;5.93;2.64;1.42;3.2;1.22;1.36;6.54;6.96;11.33;4.38;1.34;1.62;1.61;11.37;6.82;1.18;1.15;0.75;0.85;10.11;0.99
NO2;uur;µg/m³;2024-07-02T18:00:00+01:00;2024-07-02T19:00:00+01:00;3.52;4.07;3.5;8.63;2.88;1.15;2.9;5.83;7.09;6.13;4.97;4.77;2.57;3.79;1.93;2.06;2.08;3.01;3.78;2.67;1.11;5.78;2.55;4.36;2.73;1.16;2.64;1.17;1.48;8.14;8.27;11.5;4.98;1.84;1.81;1.21;13.99;6.04;1;1;0.82;1.18;2.47;0.72
