Export;EXP-2024-001 (2024-08-26T10:53:41+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
Periode;2024-06-01T00:00:00+01:00 - 2024-07-01T00:00:00+01:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Posterholt-Vlodropperweg;Vredepeel-Vredeweg;Wijnandsrade-Opfergeltstraat;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Huijbergen-Vennekenstraat;Eindhoven-Genovevalaan;Eindhoven-Noordbrabantlaan;Breda-Tilburgseweg;Breda-Bastenakenstraat;Fijnaart-Zwingelspaansedijk;Veldhoven-Europalaan;Nistelrode-Gagelstraat;Zierikzee-Lange Slikweg;Philippine-Stelleweg;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;Westmaas-Groeneweg;Dordrecht-Bamendaweg;De Zilk-Vogelaarsdreef;Den Haag-Veerkade;Den Haag-Bleriotlaan;Vlaardingen-Riouwlaan;Den Haag-Neherkade;Wieringerwerf-Medemblikkerweg;Haarlem-Schipholweg;Biddinghuizen-Kuilweg;Zegveld-Oude Meije;Utrecht-Kardinaal de Jongweg;Utrecht-Constant Erzeijstraat;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Eibergen-Lintveldseweg;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Hellendoorn-Luttenbergerweg;Barsbeek-De Veenen;Balk-Trophornsterweg;Valthermond-Noorderdiep;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.119194,6.042399);(51.54052,5.85307);(50.902281,5.881748);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.434443,4.359835);(51.468662,5.47235);(51.444157,5.444833);(51.593533,4.824944);(51.60308,4.781016);(51.653729,4.515271);(51.407365,5.393328);(51.698187,5.54332);(51.634706,3.916623);(51.294498,3.749484);(52.077148,4.289185);(51.914233,4.479923);(51.786579,4.450529);(51.800658,4.708239);(52.296556,4.510817);(52.075071,4.315872);(52.039023,4.359376);(51.914883,4.32943);(52.062537,4.318551);(52.803657,5.050509);(52.370508,4.642319);(52.423214,5.593378);(52.13795,4.83819);(52.105031,5.124464);(52.067748,5.120507);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.091801,6.605367);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.388272,6.402933);(52.654144,6.017571);(52.916915,5.573491);(52.875725,6.932432);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;stad;stad;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;stad;stad;stad;stad;regionaal;stad;regionaal;regionaal;stad;stad;regionaal;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad
;;;;StationsType;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;verkeer;verkeer;achtergrond;verkeer;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie
;;;;Meetopstelling;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser;Teledyne API T200 chemiluminescent NOx analyser
;;;;Accreditatienummer;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-06-01T00:00:00+01:00;2024-06-01T01:00:00+01:00;4.95;3.48;3.65;7.37;4.04;3.78;3.18;4.85;6.2;5.75;4.01;;3.9;3.1;2.16;4.39;2.07;4.3;8.34;3.62;1.63;4.15;3.12;3.74;2.35;2.33;9.29;2.54;2.52;5.14;5.66;7.25;4.1;2.81;3.18;2.01;7.08;3.82;7.18;2.67;2.11;3.46;3.38;6.63;4.2
NO2;uur;µg/m³;2024-06-01T01:00:00+01:00;2024-06-01T02:00:00+01:00;4.64;3.32;3.15;9.98;4.09;2.39;2.94;3.85;4.23;4.36;4.33;;2.55;2.32;1.66;2.86;1.96;3.33;5.28;3.28;1.63;3.51;3.24;2.77;2.37;1.72;3.13;1.53;3.22;4.47;5.98;7.03;3.5;2.7;2.26;1.42;7.19;3.09;5.55;1.97;0.99;3.24;3.82;5.65;3.42
NO2;uur;µg/m³;2024-06-01T02:00:00+01:00;2024-06-01T03:00:00+01:00;3.74;2.51;2.53;4.89;2.57;2.4;2.16;2.4;2.84;4.88;4.23;;1.67;3.28;2.04;1.89;1.53;3.41;5.99;3.34;2.91;3.07;3.21;2.81;2.42;1.79;3.64;1.62;3.48;3.35;6.86;6.95;2.91;3.6;1.97;2.09;6.56;3.65;2.22;1.73;1.13;3.9;2.59;5.79;3.53
NO2;uur;µg/m³;2024-06-01T03:00:00+01:00;2024-06-01T04:00:00+01:00;3.75;3.01;2.11;7.09;4.68;2.47;2.43;2.75;3.61;5.7;4.61;;2.22;3.47;2.14;2.27;1.87;3.76;3.93;3.83;2.83;2.95;3.4;2.33;2.49;2;2.73;1.13;3.52;0.5;3.24;5.75;0.98;3.85;2.25;4.1;8.3;4.11;2.32;1.3;1.63;4.75;2.24;4;3.02
NO2;uur;µg/m³;2024-06-01T04:00:00+01:00;2024-06-01T05:00:00+01:00;2.7;3.17;2.67;3.06;3.05;3.31;2.66;3.96;4.72;4.91;3.28;;2.46;3.93;1.16;3.42;2.52;3.47;4.47;4.38;1.33;3.12;3.04;3.13;2.88;2.48;2.47;1.03;3.28;0.43;1.93;9.09;0.94;3.44;2.78;0.98;10.83;6.59;2.34;1.32;0.52;4.45;5.05;3.85;2.41
NO2;uur;µg/m³;2024-06-01T05:00:00+01:00;2024-06-01T06:00:00+01:00;2.9;4.12;2.95;4.42;3.31;2.74;3.51;6.13;7.13;3.24;2.73;;3.07;4.18;1.52;5.12;1.87;2.91;5.57;4.12;1.37;2.55;3.35;5;2.65;1.93;2.24;1.57;3.25;0.85;2.64;11.82;1.24;2.69;2.32;0.71;13.94;7.22;1.83;1.77;0.61;4.5;2.08;6.22;3.54
NO2;uur;µg/m³;2024-06-01T06:00:00+01:00;2024-06-01T07:00:00+01:00;4.09;4.11;3.11;6.79;3.84;2.9;3.63;7.86;13.78;3.64;2.95;;3.65;14.74;1.79;4.2;2.15;4.52;5.72;4.58;1.31;4.23;3.74;4.75;2.75;2.02;6.25;0.63;3.49;1.32;5.06;12.17;1.81;3.91;2.07;1.36;10.56;6.26;1.89;3.42;1.4;4.65;2.54;5.46;2.34
NO2;uur;µg/m³;2024-06-01T07:00:00+01:00;2024-06-01T08:00:00+01:00;5.02;3.84;3.8;10.93;5.68;3.07;4.06;7.65;13.1;4.47;3.77;;5.28;9.02;2.91;4.32;2.95;4.27;6.24;4.26;2.23;4.52;4.47;4.96;3.51;2.01;13.27;0.96;4.16;1.37;4.5;14.56;1.84;4.21;2.39;1.36;16.4;5.57;3.03;4.49;1.54;4.35;3.41;8.08;2.93
NO2;uur;µg/m³;2024-06-01T08:00:00+01:00;2024-06-01T09:00:00+01:00;4.75;7.07;4.05;10.89;6.67;3.42;3.22;7.19;9.44;5.51;4.11;;4.32;11.6;1.88;3.42;3.25;6.97;7.2;5.64;1.99;6.12;5.43;6.5;4.43;2.11;5.53;1.69;4.35;1.9;6.65;12.97;2.3;4.33;3.01;1.72;19.56;7.22;5.81;2.61;1.93;5.24;2.55;8.35;3.31
