Export;EXP-2024-001 (2024-07-04T21:11:37+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-05-08T09:00:00+01:00;2024-05-08T10:00:00+01:00;7.54;5.9;6.03;16.26;4.59;5.77;8.26;14.25;12.67;15.67;11.65;6.93;6.78;7.33;5.63;9.04;8.55;9.87;15.13;12.21;1.69;15.42;8.96;19.95;7.59;2.79;10.94;2.34;5.06;18.54;19.04;25.91;11.98;6.46;5.2;6.26;25.01;9.32;2.68;12.7;6.08;5.85;16.99;2.49
NO2;uur;µg/m³;2024-05-08T10:00:00+01:00;2024-05-08T11:00:00+01:00;4.89;7.1;4.81;19.71;5.92;6.16;8.2;17.62;22.48;18.8;14.31;10.8;7.31;9.87;5.17;5.81;5.93;11.87;14.48;;5.31;13.3;7.69;16.74;7.36;3;22.9;2.87;6.02;13.36;16.45;25.25;10.37;5.24;4.14;6.05;23.99;8.37;2.9;9.92;5.14;3.45;16.43;2.26
NO2;uur;µg/m³;2024-05-08T11:00:00+01:00;2024-05-08T12:00:00+01:00;5.5;4.55;3.38;17.13;4.94;5.43;8.52;19.41;22.71;15.8;8.53;10.83;6.01;15.07;3.59;8.76;7.94;8.91;14.41;10.86;2.61;11.33;8.68;15.93;7;3.28;12.21;3.02;5.88;16.44;16.32;10.84;10.41;4.92;4.39;2.73;31.22;12.18;2.46;5.02;4.08;3.31;16.78;2.32
NO2;uur;µg/m³;2024-05-08T12:00:00+01:00;2024-05-08T13:00:00+01:00;5.7;4.08;3.04;21.85;3.36;5.29;5.47;16.03;21.81;13.7;11.4;13.22;5.51;15.58;3.02;7.31;8.52;10.22;11.36;8.27;3.41;16.64;10.18;14.26;8.49;5.14;7.5;2.77;12.07;8.22;14.22;11.08;5.33;4.98;4.41;4;23.03;8.46;2.99;18.23;3.3;3.04;10.84;2.71
NO2;uur;µg/m³;2024-05-08T13:00:00+01:00;2024-05-08T14:00:00+01:00;4.63;4.44;11.54;15.27;3.98;7.84;5.64;16.61;21.81;12.48;9.58;8.69;3.94;8.42;4.13;7.59;4.91;10.62;15.41;8.88;3.86;12.16;8.44;18.33;6.51;4.35;7.49;3.82;6.45;7.12;9.37;8.82;4;7.81;4.5;3.29;24.32;8.95;3.83;21.48;3.32;2.73;14.05;1.81
NO2;uur;µg/m³;2024-05-08T14:00:00+01:00;2024-05-08T15:00:00+01:00;5.83;4.9;3.97;16.57;3.37;6.6;4.56;17;21.28;14.47;8.12;10.9;3.97;7.1;4.22;7.74;6.14;10.29;13.82;10.79;4.8;12.95;10.03;18.48;7.47;4.3;20.38;3.07;6.11;6.06;10.4;7.83;3.5;9.68;3.88;4.44;36.06;10.17;3.83;10.26;2.71;1.89;11.66;1.82
NO2;uur;µg/m³;2024-05-08T15:00:00+01:00;2024-05-08T16:00:00+01:00;7.45;5.13;4.37;19.5;4.02;6.21;5.02;14.53;22.4;21.84;10.13;10.93;4.14;6.43;4.85;29.03;8.46;13.94;20.78;7.78;2.49;12.83;11.17;17.23;10.82;3.5;27.19;3.62;4.48;3.83;12.11;6.1;3.7;7.18;3.54;3.94;24.6;8.36;3.39;9.92;2.19;1.7;11.87;1.89
NO2;uur;µg/m³;2024-05-08T16:00:00+01:00;2024-05-08T17:00:00+01:00;7.2;5.96;4.97;21.96;3.84;6.81;4.74;19.1;27.27;21.19;9.96;14.76;5.62;11.43;4.61;19.48;6.74;14.47;18.23;10.62;2.21;10.29;8.19;21.29;10.75;3.62;20.58;3.38;16.43;4.35;10.26;3.59;4.08;7.32;4.02;4.14;30.71;12.87;3.53;4.9;2.1;1.42;10.32;1.89
NO2;uur;µg/m³;2024-05-08T17:00:00+01:00;2024-05-08T18:00:00+01:00;7.63;6.83;4.87;17.15;4.08;6.96;6.45;17.22;22.61;21.59;8.52;15.98;6.16;9.02;6.11;8.36;5.21;11.93;17.77;7.87;5.53;10.16;7.27;18.23;8.28;3.48;22.89;3.88;14.37;5.32;11.47;4.02;4.35;6.78;3.85;4.44;32.6;18.22;3.8;3.39;2.88;2.93;9.54;1.8
NO2;uur;µg/m³;2024-05-08T18:00:00+01:00;2024-05-08T19:00:00+01:00;7.1;6.56;5.13;23.93;5.81;7.11;9.16;18.04;23;20.05;7.1;15.96;7.61;7.51;5.13;11.71;5.19;10.3;21.28;9.97;2.47;10.64;6.5;13.78;7.3;3.23;36.11;5;10.19;5.38;10.96;5.57;4.27;15.63;5.26;6.2;21.28;11.17;5.67;5.09;2.87;2.19;10.16;2.53
NO2;uur;µg/m³;2024-05-08T19:00:00+01:00;2024-05-08T20:00:00+01:00;10.22;8.89;6.73;24.89;7.53;10.73;11.33;23.94;26.6;25.3;7.77;17.22;10.1;11.45;7.38;9.57;5.95;9.82;19.55;17.27;3.91;8.45;5.71;14.33;7.11;4.08;26.84;4.51;6.41;4.74;10.01;9.03;4.13;15.53;9.84;7.9;20.05;13.63;8.04;4.86;3.91;3.82;13.14;3.45
NO2;uur;µg/m³;2024-05-08T20:00:00+01:00;2024-05-08T21:00:00+01:00;14.77;13.39;7.6;35.83;17.52;12.18;10.01;39.32;44.01;52.99;12.12;20.41;10.96;17.52;8.75;7.17;7.78;9.1;19.46;18.44;3.9;12.55;10.59;17.53;9.76;6.28;19.01;4.7;11.83;5.42;10.11;12.86;5.61;14.84;10.92;9.25;30.14;24.9;8.12;;6.68;5.54;15.64;7.29
NO2;uur;µg/m³;2024-05-08T21:00:00+01:00;2024-05-08T22:00:00+01:00;13.54;20.52;9.08;49.82;25.18;13.84;11.59;39.67;51.84;56.47;21.97;17.51;13.58;20.77;7.14;7.87;8.91;11.31;24.68;13.19;6.45;16.24;13.68;24.66;12.76;5.6;7.49;4.83;11.46;8.85;6.84;12.58;8.74;12.3;18.94;14.22;41.43;30.85;10.49;6.89;7.23;1.32;21.41;7.86
NO2;uur;µg/m³;2024-05-08T22:00:00+01:00;2024-05-08T23:00:00+01:00;18.06;16.14;7.35;41.69;21.53;20.96;11.43;34.32;43.02;26.09;22.17;16.85;17.23;36.79;6.57;15.35;9.25;13.61;27.5;18.98;12.84;19.64;16.05;27.39;16.34;4.77;10.01;4.63;4.82;11.42;9.98;5.53;10.05;10.39;11.48;11.98;38.69;33.85;7.21;8.09;12.98;3.12;17.64;6.34
NO2;uur;µg/m³;2024-05-08T23:00:00+01:00;2024-05-09T00:00:00+01:00;13.28;16.26;7.3;35.21;17.22;22.73;12.17;33.63;33.24;20.59;19.47;19.66;15.75;62.68;8.73;12.07;9.58;16.85;39.76;16.11;9.9;9.72;15.39;21.47;15.12;3.75;11.76;4.66;5.63;6.77;10.08;14.07;6.78;11.37;8.58;10.85;30.92;26.04;5.84;6.32;14.93;4.69;12.44;4.85
NO2;uur;µg/m³;2024-05-09T00:00:00+01:00;2024-05-09T01:00:00+01:00;;14.88;6.26;27.41;16.75;13.79;12.1;25.8;28.22;23.84;16.43;17.28;16.03;59.14;16.64;11.77;11.78;20.96;38.51;14.48;6.6;15.87;19.59;;17.22;5.63;9.2;5.21;6.63;5.11;7.25;14.28;6.98;7.4;6.83;8.99;27.28;14.87;7.65;5.71;13.03;7.49;10.96;4.85
NO2;uur;µg/m³;2024-05-09T01:00:00+01:00;2024-05-09T02:00:00+01:00;;12.95;5.98;20.14;11.49;13.66;9.9;19.3;19.5;35.06;17.84;21.26;14.56;24.29;22.27;17.07;16.17;17.03;46.44;17.2;6.23;19.43;15.57;23.14;22.5;5.74;13.81;6.67;6.01;5.11;5.54;19.93;5.08;4.71;6.34;8.54;15.09;11.4;8.32;5.83;19.33;6.78;9.55;5.06
NO2;uur;µg/m³;2024-05-09T02:00:00+01:00;2024-05-09T03:00:00+01:00;12.94;11.81;5.17;14.91;8.98;11.85;8.61;14.74;13.83;30.72;14.53;17.79;13.79;25.54;14.64;10.91;17.97;19.56;42.32;16.67;5.65;15.78;16.65;25.25;20.55;7.93;22.25;5.03;5.81;5.47;6.38;16.32;5.87;5.68;6.87;7.6;24.3;14.8;7.02;6.61;16.78;18.01;9.59;4.78
NO2;uur;µg/m³;2024-05-09T03:00:00+01:00;2024-05-09T04:00:00+01:00;11.8;12.36;4.4;13.91;8.93;10.3;7.31;13.14;11.82;28.1;15.72;13.69;14.69;18.3;10.98;14.14;21.09;19.31;34.54;11.34;5.22;20.95;17.35;20.39;27.33;6.32;20.48;5.08;5.35;5.35;10.21;19.17;6.77;4.98;5.41;6.68;15.82;10.77;5.66;7.05;11.76;8.93;8.1;4.27
NO2;uur;µg/m³;2024-05-09T04:00:00+01:00;2024-05-09T05:00:00+01:00;10.02;14.68;5.36;13.58;6.72;9.33;6.19;15.43;13.24;26.85;14.33;13.46;13.45;22.48;8.3;11.33;27.43;19.23;34.45;15.38;5.32;31.3;25.41;18.51;43.24;7.38;15.82;5.27;6.46;8.21;9.76;39.28;6.83;5.61;4.99;5.42;15.21;10.76;5.59;9.48;13.82;7.48;5.57;4.13
NO2;uur;µg/m³;2024-05-09T05:00:00+01:00;2024-05-09T06:00:00+01:00;7.03;11.34;4.43;13.64;5.56;7.59;5.62;16.82;17.84;19.92;13.57;12.83;13.86;15.32;8.48;11.18;24.08;23.56;26.88;16.21;5.81;28.89;28.12;23.7;60.77;10.82;18.24;5.9;9.32;12.17;16.69;26.65;7.21;6.38;4.48;4.3;14.45;9.76;5.77;7.56;8.71;5.29;4.92;2.92
NO2;uur;µg/m³;2024-05-09T06:00:00+01:00;2024-05-09T07:00:00+01:00;7.7;11.44;5.53;11.98;8.03;5.39;5.14;15.09;13.27;18.11;11.65;11.57;12.9;28.65;10.52;13.86;21.35;31.1;24.71;19.67;8.76;26.41;27.75;28.32;56.22;7.63;19.18;4.04;10.48;11.48;15.08;28.22;9.45;6.53;5.98;5.14;19.5;18.14;4.28;3.68;6.72;5.16;11.43;3.9
NO2;uur;µg/m³;2024-05-09T07:00:00+01:00;2024-05-09T08:00:00+01:00;9.67;13.36;8.68;18.05;9.61;9.4;5;10.7;12.86;16.69;8.79;17.94;12.12;13.48;9.74;17.22;21.42;26.72;17.7;16.47;8.32;17.69;13.64;41.83;47.43;13.12;15.29;4.84;6.42;10.68;15.13;17.96;7.28;6.17;7.36;6.4;24.03;16.04;4.17;3.43;3.63;3.75;11.18;5.45
NO2;uur;µg/m³;2024-05-09T08:00:00+01:00;2024-05-09T09:00:00+01:00;8.34;10.37;8.57;19.28;8.25;10.43;5.2;9.27;16.99;14.21;10.33;8.98;12.88;7.55;6.08;16.93;17.54;12.63;12.53;8.82;6.23;15.33;13;47.93;40.43;5.41;7.72;2.26;2.9;9.23;13.82;19.96;5.38;8.5;6.05;3.04;26.35;10.99;4.36;2.62;3.76;2.18;11.54;4.49
NO2;uur;µg/m³;2024-05-09T09:00:00+01:00;2024-05-09T10:00:00+01:00;8.62;6.19;8.18;11.44;7.77;5.39;2.73;6.06;9.11;10.16;5.66;6.16;14.39;2.56;7.52;16.61;34.04;14.05;8.89;5.47;5.82;27.1;20.59;32.03;39.77;7.99;10.58;1.16;2.24;11.79;8.59;13.44;6.09;5.06;3.58;1.45;21.77;11.15;3.84;2.62;2.56;1.33;9.98;2.86
NO2;uur;µg/m³;2024-05-09T10:00:00+01:00;2024-05-09T11:00:00+01:00;9.72;3.53;6.64;10.45;6.72;3.43;2.2;5.77;8.06;10.52;3.64;3.68;6.72;3.13;5.6;18.1;45.81;13.37;10.1;3.64;13.73;45.81;20.96;26.08;55.39;3.84;7.19;1.25;1.84;10.71;8.2;16.5;6.14;4.06;2.5;1.52;26.54;11.89;3.94;2.82;2.03;1.1;10.66;2.08
NO2;uur;µg/m³;2024-05-09T11:00:00+01:00;2024-05-09T12:00:00+01:00;8.63;2.69;4.37;9.98;4.92;2.64;4.31;7.42;6.34;8.37;4.04;4.81;4.89;3.45;3.29;12.37;22.45;12.78;9.59;4.78;10.94;27.01;34.2;25.75;29.42;4.05;13.01;2.08;3.14;9.37;7.54;15.71;4.3;3.58;3.22;1.86;27.83;12.64;3.48;2.95;2.11;1.58;9.03;2.78
NO2;uur;µg/m³;2024-05-09T12:00:00+01:00;2024-05-09T13:00:00+01:00;7.04;1.77;4.19;11.24;5.06;2.48;9.84;11.27;8.88;9.73;3.86;6.92;3.55;3.17;3.45;11.11;18.31;17.64;5.02;10.79;7.13;22.94;19.8;31.88;26.08;3.81;13.79;2.46;5.68;11.3;8.63;20.63;4.47;4.75;2.27;1.8;28.71;7.63;2.99;2.41;2.02;1.58;10.17;2.44
NO2;uur;µg/m³;2024-05-09T13:00:00+01:00;2024-05-09T14:00:00+01:00;5.75;3.22;4.48;11.57;3.8;2.61;10.65;9.59;10.16;10.7;4.14;5.89;3.31;3.44;4.16;11.38;12.6;25.07;6.04;5.78;8.39;18.52;17.67;30.13;21.97;3.63;15.77;4.84;6.35;10.85;8.15;21.24;5.21;6.99;2.14;1.9;33.45;12.02;3.58;3.51;2.19;1.29;9.6;2.08
NO2;uur;µg/m³;2024-05-09T14:00:00+01:00;2024-05-09T15:00:00+01:00;4.88;1.94;4.34;8.84;3.02;2.69;6.52;12.58;10.87;9.8;7.61;5.08;3.16;5.36;5.71;8.68;16.32;20.82;6.98;5.31;9.97;20.65;14.54;24.57;21.97;4.16;11.4;5.12;9.75;10.61;7.85;21.52;5.54;10.1;2.2;2.48;28.29;6.87;3.72;4.29;2.05;1.86;8.35;1.98
NO2;uur;µg/m³;2024-05-09T15:00:00+01:00;2024-05-09T16:00:00+01:00;4.03;2.59;3.9;10.03;3.1;4.28;5.02;15.66;13.93;9;6.25;4.49;3.19;12.2;4.41;9.39;10.19;14.32;7.22;8.5;8.84;15.67;6.91;25.08;18.35;4.38;10.46;6.72;9.44;9.45;8.39;21.48;6.05;15.4;2.37;3.05;21.39;9.36;4.09;5.37;2.34;2.24;9.66;2.23
NO2;uur;µg/m³;2024-05-09T16:00:00+01:00;2024-05-09T17:00:00+01:00;4.83;3.6;3.63;12.55;3.43;5.33;4.54;14;15.45;6.83;4.83;2.83;3.2;11.21;4.76;8.99;6.66;17.74;6.27;16.64;6.56;17.85;7.04;29.65;14.75;3.57;8.84;6.03;6.38;10.82;10.79;23.78;8.92;13.3;3.56;3.24;15.2;7.19;4.64;5.82;2.72;2.58;11.53;1.89
NO2;uur;µg/m³;2024-05-09T17:00:00+01:00;2024-05-09T18:00:00+01:00;6.97;4.53;4.48;14.74;4.02;5.41;3.9;11.95;13.22;6.82;4.68;3.59;4.04;7.42;4.25;18.44;7.72;16.8;5.72;12.46;7.2;19.34;7.32;32.4;11.93;3.97;8.11;5.23;6.39;11.83;13.35;23.41;11.23;12.42;3.73;4.13;21.99;6.37;4.86;4.64;2.57;2.58;12.07;2.47
NO2;uur;µg/m³;2024-05-09T18:00:00+01:00;2024-05-09T19:00:00+01:00;6.72;4.06;4.91;12.96;4.1;8.18;3.68;12.93;13.51;12.22;9.69;3.6;4.04;7.44;3.81;23.27;7.95;17.25;6.4;10.57;6.52;12.56;9.69;25.92;11.91;5.44;10.65;5.69;5.43;12.66;17.72;32.13;13.43;12.08;4.33;4.89;27.58;8.21;4.9;6.11;3.98;3.47;11.99;3.17
NO2;uur;µg/m³;2024-05-09T19:00:00+01:00;2024-05-09T20:00:00+01:00;7.7;4.1;5.17;13.47;5.62;14.7;4.04;18.1;15.66;16.24;16.36;5.02;5.99;15.95;4.93;25.08;11.47;12.39;10.41;11.81;6.67;17.23;8.05;28.85;14.07;6.53;17.71;5.8;5.31;12.79;19.8;24.54;11.15;11.15;5.18;9.26;44.53;14.12;5.82;5.17;5.57;3.91;15.88;3.65
NO2;uur;µg/m³;2024-05-09T20:00:00+01:00;2024-05-09T21:00:00+01:00;11.92;5.78;5.9;13.09;6.5;13.56;5.54;27.58;24.94;18.41;23.77;14;9.44;80.94;16.12;30.73;12.59;14.4;33.94;12.69;7.47;15.05;8.9;33.75;15.13;8.25;57.62;5.79;8.87;16.83;19.88;30.39;14.05;11.16;6.31;10.83;32.39;15.86;9.58;8.1;8.26;8.01;18.98;7.17
NO2;uur;µg/m³;2024-05-09T21:00:00+01:00;2024-05-09T22:00:00+01:00;16.5;9.87;6.94;19.88;10.12;14.47;7;28.7;25.43;23.45;25.45;15.95;14.39;84.19;23.81;21.24;12.3;16.86;38.87;10.86;8.55;18.5;16.79;47.36;30.81;8.67;49.87;5.86;16.62;15.87;16.93;23.72;14.14;10.17;5.66;13.66;27.12;19.42;9.01;7.87;7.54;11.17;19.14;8.81
NO2;uur;µg/m³;2024-05-09T22:00:00+01:00;2024-05-09T23:00:00+01:00;15.92;15.76;9.34;30.56;8.7;16.5;8.71;26.63;22.97;20.02;17.08;13.78;18.33;58.86;32.74;20.2;13.96;19.4;32.57;10.18;9.25;22.46;16.12;37.25;39.54;10.91;39.13;6.06;20.89;15.24;15.72;15.84;13.3;10.83;6.98;15.32;26.22;15.93;8.15;10.31;9.47;6.79;23.71;10.66
NO2;uur;µg/m³;2024-05-09T23:00:00+01:00;2024-05-10T00:00:00+01:00;10.21;13.79;5.92;34.51;7.66;16.09;10.61;22.96;18.5;11.36;14.66;14.82;17.97;47.21;30.67;29.07;13.11;19.1;34.49;13.85;9.48;14.03;21.34;30.49;23.37;12.44;36.15;7.74;27.68;15.61;14.3;16.1;11.62;12.14;7.4;12.34;26;14.28;7.1;9.07;12.71;8.25;24.57;11.1
NO2;uur;µg/m³;2024-05-10T00:00:00+01:00;2024-05-10T01:00:00+01:00;8.97;15.22;6.05;25.69;14.44;18.08;11.88;23.21;15.95;13.46;16.46;15.47;28.25;36.19;19.21;19.75;9.76;24.11;35.04;14.28;10.24;9.09;16.7;19.1;18.28;14.27;28.98;6.54;30.32;11.7;14.11;17.8;12.11;14.45;6.97;12.19;24.99;12.58;9.19;7.23;19.91;14.45;18.67;10.21
NO2;uur;µg/m³;2024-05-10T01:00:00+01:00;2024-05-10T02:00:00+01:00;13.12;17.01;6.02;19.22;11.43;15.57;11.63;18.87;13.66;26.73;14.22;19.93;13.57;41.82;23.48;20.31;9.95;24.79;33.25;14.55;9.46;11.09;13.88;17.69;14.51;11.42;10.61;5.57;34.48;10.96;10.95;16.42;10.04;14.95;7.31;9.01;31.14;13.13;6.98;6.26;23.82;12.94;15.45;10.24
NO2;uur;µg/m³;2024-05-10T02:00:00+01:00;2024-05-10T03:00:00+01:00;14.26;20.73;4.42;16.31;7.23;14.97;9.99;15.09;11.27;20.89;11.32;20.21;11.47;40.7;29.48;17.43;14.58;22.8;27.46;21.15;9.52;13.76;20.06;14.97;22.88;9.7;12.93;6.54;22.96;9.7;7.71;8.86;9.14;16.86;6.51;8.29;28.25;12.45;7.31;6.88;22.42;18.44;14.16;8.94
NO2;uur;µg/m³;2024-05-10T03:00:00+01:00;2024-05-10T04:00:00+01:00;11.41;16.04;3.88;18.08;7.01;16.26;7.93;15.76;9.59;26.04;14.28;21.63;10.82;29.84;48.33;32.71;11.67;19.89;29.34;26.18;9.03;14.62;18.47;19.72;27.77;10.73;11.51;6.87;12.85;11.05;13.4;17.78;7.14;14.06;7.37;7.55;22.45;11.22;7.09;6.28;16.75;13.71;14.88;7.7
NO2;uur;µg/m³;2024-05-10T04:00:00+01:00;2024-05-10T05:00:00+01:00;11.58;16.58;4.14;22.3;6.72;13.51;6.74;19.81;12.03;30.75;10.25;26.66;10.83;23.87;47.22;33.18;13.87;19.76;31.56;25.54;8.02;19.32;25.15;36.32;56.74;11.92;12.26;5.59;9.91;7.77;9.68;11.23;8.26;14.51;6.35;4.91;31.39;12.5;8.18;12.01;14.35;9.34;13.51;5.24
NO2;uur;µg/m³;2024-05-10T05:00:00+01:00;2024-05-10T06:00:00+01:00;12.75;13.72;5.57;21.07;7.01;16.08;5.57;25.43;20.38;21.72;15.93;27.94;11.56;28.18;41.45;24.89;23.59;19.06;32.27;23.51;6.31;26.55;28.31;46.36;63.58;12.37;17.82;6.25;10.63;11.33;13.78;28.58;9.14;15.05;6.48;5.05;34.78;18.75;6.03;14.29;13.79;7.78;17.63;4.69
NO2;uur;µg/m³;2024-05-10T06:00:00+01:00;2024-05-10T07:00:00+01:00;11.43;16.74;6.09;25.61;8.27;21.86;8.72;23.05;26.05;25.64;18.36;27.01;20.75;31.02;34.69;29.42;28.51;25.55;23.03;19.46;7.09;34.01;36.23;37.22;61.21;14.97;26.28;5.61;7.5;17.52;22.07;23.71;17.01;12.63;7.6;11.51;27.36;15.33;12.96;19.44;12.74;10.51;23.22;6.75
NO2;uur;µg/m³;2024-05-10T07:00:00+01:00;2024-05-10T08:00:00+01:00;10.83;15.32;11.98;21.69;10.64;12.94;13.43;16.96;22.53;23;11.88;22.8;16.44;13.61;22.43;39.85;27.67;27.94;19.03;14.43;6.9;28.8;20.29;34.14;56.15;9.23;19.54;6.58;5.54;11.76;18.55;7.88;9.41;13.94;9.03;12.3;24.11;12.96;10.23;12.69;8.28;4.52;13.6;4.65
NO2;uur;µg/m³;2024-05-10T08:00:00+01:00;2024-05-10T09:00:00+01:00;8.45;9.85;13.11;18.54;12.89;10.16;8.88;11.48;;22.33;8.6;12.3;10.39;8.97;15.03;34.39;16.95;24.47;15.45;9.96;8.91;21.87;16.39;30.59;56.68;4.26;17.99;3.24;6.16;5.84;16.26;3.66;5.98;11.4;7.59;4.16;25.39;13.91;6.78;9.61;4.5;3.49;11.96;3.25
NO2;uur;µg/m³;2024-05-10T09:00:00+01:00;2024-05-10T10:00:00+01:00;12.31;6.32;13.13;19.25;12.25;5.19;5.35;10.29;;11.69;6.28;12.31;6.28;6.44;15.18;21.9;12.31;20.28;12.25;12.06;18.34;16.44;10.22;28.01;47.52;3.75;19.29;2.61;4.19;5.72;9.36;6.23;5.14;7.85;5.28;2.34;25.65;9.94;4.09;7.62;3.31;3.03;13.27;3.54
NO2;uur;µg/m³;2024-05-10T10:00:00+01:00;2024-05-10T11:00:00+01:00;8.02;4.44;11.08;10.92;10.75;4.28;4.19;10.41;11.41;13.88;5.02;15.06;5.15;4.84;15.13;14.21;11.55;13.01;10.48;13.26;9.8;17.45;7.72;21.86;44.57;3.42;16.41;2.17;3.89;5.94;8.38;7.75;4.66;7.24;3.72;2.33;22.83;6.69;2.8;13.15;3.43;3.05;12.02;2.94
NO2;uur;µg/m³;2024-05-10T11:00:00+01:00;2024-05-10T12:00:00+01:00;6.71;3.26;10.58;16.2;9.18;3.59;3.95;10;10.46;7.89;3.51;9.13;4.48;4.33;8.49;12.6;10.42;8.93;9.61;7.43;16.79;17.36;5.81;18.11;19.21;2.95;12.68;2.63;3.98;5.56;11.25;6.81;4.6;6.03;3.03;2.93;24.79;5.99;2.55;13.91;4.48;3.22;11.41;2.3
NO2;uur;µg/m³;2024-05-10T12:00:00+01:00;2024-05-10T13:00:00+01:00;4.85;3.38;8.65;20.37;9.42;4.13;3.93;9.29;9.36;7.38;3.76;7.15;4.52;4.39;10.24;6.67;9.29;10.62;9.05;5.29;6.39;14.72;6.99;16.42;19.05;2.68;13.32;1.96;3.66;6.34;8.88;6.51;5.02;5.32;3.69;2.22;20.85;4.88;2.62;9.54;3.25;3.14;8.39;2.44
NO2;uur;µg/m³;2024-05-10T13:00:00+01:00;2024-05-10T14:00:00+01:00;4.83;4.41;6.51;15.28;8.23;3.53;3.89;9.85;11.01;7.11;4.28;7.25;4.21;4.79;14.17;5.4;15.72;9.8;9.82;5.09;6.38;20.93;11.5;16.07;20.96;3.04;12.81;2.68;3.32;6;8.05;4.21;4.71;6.67;2.91;2.71;23.91;6.72;2.69;9.97;3.29;3.7;9.89;2.88
NO2;uur;µg/m³;2024-05-10T14:00:00+01:00;2024-05-10T15:00:00+01:00;5.04;4.52;6.21;15.11;6.07;3.94;3.78;10.75;12.32;9.96;5.74;7.62;3.44;4.98;16.35;6.61;6.84;10.58;8.54;4.59;5.96;16.57;12.95;13.22;16.29;2.99;13.26;2.22;3.23;4.44;11.47;2.94;5.62;6.26;3.16;2.7;15.24;5.13;2.89;10.16;3.86;2.97;11.66;2.92
NO2;uur;µg/m³;2024-05-10T15:00:00+01:00;2024-05-10T16:00:00+01:00;5.43;4.6;5.84;14.27;4.45;4.4;3.71;12.86;11.04;6.62;11.99;7.51;3.75;4.98;12.69;6.69;5.49;7.91;9.14;4.89;3.18;12.31;11.04;17.62;15.16;2.78;13.25;3.64;2.87;4.22;9.89;2.9;5.59;7.56;3.4;3.64;22.66;5.68;3.53;11.87;3.45;2.99;12.1;2.89
NO2;uur;µg/m³;2024-05-10T16:00:00+01:00;2024-05-10T17:00:00+01:00;6.11;4.99;5.64;11.88;4;5.43;3.48;9.34;10.69;6.47;4.26;6.77;3.54;5;15.05;12.71;4.69;7.16;8.47;5.25;4.53;11.02;9.71;20.73;14.92;3.1;12.16;2.85;4.49;4.4;11.22;2.88;5.07;6.7;3.66;3.1;28.3;5.46;4.27;15.15;8.08;2.83;9.75;2.68
NO2;uur;µg/m³;2024-05-10T17:00:00+01:00;2024-05-10T18:00:00+01:00;6.75;3.87;5.69;19.03;4.57;9.03;3.7;11.07;10.8;6.77;4.78;8.96;3.56;4.14;15.92;11.8;4.5;14.85;11.39;5.48;6.84;10.09;8.17;20.38;12.77;3.58;8.12;3.21;3.26;5.28;9.55;5.7;5.37;5.59;4.03;2.75;32;9.01;3.97;5.65;8.66;2.86;11.64;2.21
NO2;uur;µg/m³;2024-05-10T18:00:00+01:00;2024-05-10T19:00:00+01:00;6.82;4.79;9.47;15.2;6.33;6.46;4.05;12.9;12.6;7.2;6.33;10.56;3.93;8.86;18.82;14.79;6.06;12.2;12.54;5.59;6.5;13.11;9.61;23.66;14.42;3.76;6.13;3.9;13.29;5.44;8.57;6.49;5.94;7.03;5.61;3.14;29.22;10.91;4.36;8.33;3.43;3.58;7.35;2.43
NO2;uur;µg/m³;2024-05-10T19:00:00+01:00;2024-05-10T20:00:00+01:00;9.1;13.53;8.04;17.23;9.44;14.65;5.63;18.06;15.44;10;7.62;11.11;5.72;21.28;18.38;24.55;8.15;9.68;17.11;8.32;5.88;15.25;15.95;28.84;23.93;4.97;6.16;5.9;12.27;6.14;11.54;9.52;7.22;10.14;6.56;6.44;41.66;18.98;5.72;9.56;3.21;6.31;9.45;4.97
NO2;uur;µg/m³;2024-05-10T20:00:00+01:00;2024-05-10T21:00:00+01:00;9.14;25.67;10.92;23.25;11.4;13.6;7.76;25.17;24.58;14.97;11.92;16.02;11.51;47.59;17.95;43.78;15.04;12.86;23.5;15.72;7.88;26.01;16.07;39.79;45.16;5.36;11.78;4.25;7.43;8.98;10.74;11.13;10.15;12.04;7.43;7.29;66.45;41.97;6.15;16.66;4.28;4.26;15.92;7.13
NO2;uur;µg/m³;2024-05-10T21:00:00+01:00;2024-05-10T22:00:00+01:00;13.23;27.26;19.49;30.22;11.35;14.18;7.43;21.74;24.05;14.81;15.6;19.8;14.75;45.29;19.34;29.39;22.44;14.73;13.51;11.49;7.25;32.16;11.61;25.33;53.75;3.22;7.34;4.62;6.4;10.01;11.44;12.91;10.28;11.56;6.88;6.14;39.85;22.89;6.32;21.1;5.5;3.08;19.28;10.05
