Export;EXP-2024-001 (2024-05-16T10:58:09+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-04-01T01:00:00+01:00;2024-04-01T02:00:00+01:00;6.8;11.74;2.19;12.29;4.42;9.04;9.5;8.69;7.4;11.5;10.06;8.18;4.5;6.31;16.2;8.34;26.03;14.78;7.27;7.47;9.5;28.81;20.77;31.25;36.48;5.78;11.7;6.16;6.96;10.52;13.42;8.27;9.95;11.4;17.94;9.27;9.29;;12.34;7.01;4.65;3.97;5.57;9.45;6.08
NO2;uur;µg/m³;2024-04-01T02:00:00+01:00;2024-04-01T03:00:00+01:00;8.02;12.38;2.08;4.81;4.19;7;7.5;10.21;8.07;17.97;10.25;5.63;;7.69;6.66;12.51;29.52;;6.2;7.81;9.7;28.03;21.81;25.16;36.94;;12.44;;10.04;11.27;13.71;;11.05;;18.75;7.6;7.73;;11.68;7.92;5.96;4.49;4.49;7.27;4.54
NO2;uur;µg/m³;2024-04-01T03:00:00+01:00;2024-04-01T04:00:00+01:00;7.44;8.69;2.21;4.01;6.34;9.16;11.25;9;7.35;23.72;9.42;5.33;;8;11.38;6.11;26.46;;6.52;8.2;11.98;26.72;20.27;26.64;29.48;;13.4;;9.5;12.29;16.39;10.31;12.34;;17.23;7.49;7.51;;11.32;7.72;6.13;4.94;4.42;8.35;4.19
NO2;uur;µg/m³;2024-04-01T04:00:00+01:00;2024-04-01T05:00:00+01:00;8.26;9.03;2.55;5.44;6.51;9.07;16.14;7.19;9.73;13.77;10.62;5.38;4.96;9.07;12.03;5.59;30.16;10.55;8.05;8.89;16.02;24.47;20.35;23.83;26.64;14.4;14.33;6.68;6.45;13.71;17.4;13.89;12.74;;17.52;7.57;9.51;;11.28;8.97;6.31;7;4.84;7.45;5.55
NO2;uur;µg/m³;2024-04-01T05:00:00+01:00;2024-04-01T06:00:00+01:00;8.98;13.23;3.78;7.6;5.1;8.04;15.63;8.6;10.11;17.47;8.19;9.3;6.38;10.32;7.82;7.26;36.49;12.6;9.27;10.16;19.98;29.07;21.29;32.41;30.71;24.23;16.71;6.28;7.37;13.35;16.9;12.54;12.63;5.91;17.9;8.67;11.6;;13.75;9.64;6.29;8.17;6.07;11.99;5.24
NO2;uur;µg/m³;2024-04-01T06:00:00+01:00;2024-04-01T07:00:00+01:00;9.57;13.39;6.77;6.05;4.45;5.6;9.01;10.52;15.96;18.71;11.12;10.88;7.74;11.61;7.14;7.67;42.2;19.29;14.73;13.66;19.53;43.02;20.82;31.65;44.47;13.12;19.74;6.27;10.39;20.11;22.2;7.39;15.57;11.08;18.91;7.13;14.19;;9.83;7.98;6.18;9.07;7.07;17.59;5.25
NO2;uur;µg/m³;2024-04-01T07:00:00+01:00;2024-04-01T08:00:00+01:00;10.54;8.84;8.27;7.75;7.02;6.78;8.48;8.38;10.72;13.7;12.28;16.09;10.75;11.79;16.49;6.45;35.99;22.31;14.65;17.82;16.56;39.18;24.38;30.93;41.76;11.05;19.46;6.58;6.92;17.65;23.81;;15.52;10.61;18.84;7.81;17.48;;9.15;6.7;5.98;8.92;6.72;22.17;5.76
NO2;uur;µg/m³;2024-04-01T08:00:00+01:00;2024-04-01T09:00:00+01:00;6.59;7.56;6.05;10.82;8.57;6.94;7.75;8.44;11.6;13.92;11.4;12.04;6.83;6.74;10.5;4.14;30.95;;13.37;17.98;16.61;31.47;26.12;33.19;35.74;18.21;19.66;6.43;12.43;17.12;18.36;17.07;14.54;12.04;16.66;9.18;17.3;;9.33;8.64;5.81;11.9;6.45;15.29;8.13
NO2;uur;µg/m³;2024-04-01T09:00:00+01:00;2024-04-01T10:00:00+01:00;6.92;7.34;4.4;8.07;6.11;9.75;8.12;9.49;12.79;15.28;9.16;7.56;6.47;7.56;6.91;4.55;24.52;;12.19;13.97;14.52;25.55;22.9;29.98;26.08;20.5;15.87;7.44;13.46;16.54;17.59;20.92;14.19;10.18;14.66;9.28;18.5;;9.33;9.19;6.34;11.8;5.92;20.33;11.31
NO2;uur;µg/m³;2024-04-01T10:00:00+01:00;2024-04-01T11:00:00+01:00;7.41;7.06;3.45;6.38;4.71;11;11.09;13.13;15.69;12.44;9.53;7.05;;7.28;6.69;4.21;15.4;;6.63;10.06;12.79;18.39;17.45;21.46;25.23;;13.82;;13.16;14.12;14.94;23.18;11.11;8.2;11.89;8.85;18.99;;8.73;7.51;12.16;12.13;5.93;19.75;13.81
NO2;uur;µg/m³;2024-04-01T11:00:00+01:00;2024-04-01T12:00:00+01:00;;7.14;3.72;7.34;4.72;10.97;10.09;12.77;16.13;13.81;10.41;6.15;;10.19;5.09;3.53;13.79;;7.43;8.97;9.31;17.89;15.54;19.4;22.69;12.32;10.14;8.43;8.52;13.74;15.53;20.71;10.31;6.87;9.87;8.62;20.22;;8.54;8.05;15.16;7.6;5.93;15.72;9.58
NO2;uur;µg/m³;2024-04-01T12:00:00+01:00;2024-04-01T13:00:00+01:00;;6.52;3.66;7.01;3.3;8.05;7.55;10.02;14;12.14;8.32;6.67;5.32;7.49;3.97;3.07;11.11;10.92;5.49;8.2;7.03;19.49;11.32;18.75;21.95;15.63;9.36;10.1;6.82;12.35;12.6;16.91;9.93;6.72;7.63;8.67;19.34;;6.96;8.21;13.23;6.48;6.3;11.14;7.88
NO2;uur;µg/m³;2024-04-01T13:00:00+01:00;2024-04-01T14:00:00+01:00;4.95;4.58;1.91;6.79;3;6.81;7.65;7.64;10.02;10.53;7.35;3.93;3.44;6.48;2.65;2.48;10.96;9.2;4.34;6.6;7.97;18.44;11.76;15.71;24.26;16.98;10.08;6.27;5.41;11.07;11.27;15.2;8.02;5.61;8.51;4.7;12.47;;6.84;9.53;7;5.92;5.05;10.24;7.89
NO2;uur;µg/m³;2024-04-01T14:00:00+01:00;2024-04-01T15:00:00+01:00;3.04;3.14;2.87;6.92;4.08;2.97;3.75;6.14;12.5;11.23;7.52;2.66;2.68;7.97;2.69;1.25;6.79;5.05;3.02;5.21;6.22;11.26;5.71;11.62;16.77;10.74;9.43;4.82;4.09;10.44;9.88;13.18;7.28;4.68;6.67;3.56;13.03;;6.38;8.34;5.55;6.63;3.39;8.74;8.81
NO2;uur;µg/m³;2024-04-01T15:00:00+01:00;2024-04-01T16:00:00+01:00;4.94;2.75;1.5;8.2;4.14;1.77;2.58;5.5;10.84;9.07;5.73;4.46;2.19;7.71;3.05;1.71;9.07;6.88;3.46;4.37;6.86;14.32;4.93;13.86;16.66;16.5;8.08;4.01;2.02;9.29;8.81;10.7;5.4;3.03;5.48;3.3;17.55;;5.53;5.21;3.75;8.76;2.79;9.55;5.56
NO2;uur;µg/m³;2024-04-01T16:00:00+01:00;2024-04-01T17:00:00+01:00;5.79;3.54;1.18;7.28;2.62;2.02;4.02;6.78;11.85;9.03;5.46;2.86;2.31;6.14;5.06;1.16;8.36;9.38;2.66;4.3;7.13;16.07;5.31;12.5;21.78;30.79;9.08;3.75;2.58;7.98;8.47;10.86;5.26;4.14;4.55;4;15.77;;5.76;5.74;2.46;6.16;2.23;9.17;5.82
NO2;uur;µg/m³;2024-04-01T17:00:00+01:00;2024-04-01T18:00:00+01:00;5.51;5.19;2.14;6.23;3.81;1.66;4.43;6.05;9.84;6.07;5.59;3.42;1.63;5.28;5.2;1.08;8.81;9.78;3.75;3.77;7.49;17.44;11.5;17.06;20.21;38.76;10.77;2.92;3.68;12.17;13.57;14.24;7.42;4.34;5.32;4.44;19.8;;5.12;5.46;4.32;3.55;2.42;7.06;4.96
NO2;uur;µg/m³;2024-04-01T18:00:00+01:00;2024-04-01T19:00:00+01:00;5.27;5.63;3.63;7.48;4.62;2.03;7.44;5.6;10.81;9;6.7;3.71;2.08;6.71;7.23;1.58;13.8;12.43;5.92;5.02;12.68;24.02;13.73;25.54;30.06;83.21;10.12;4.62;4.9;17.72;17.16;23.01;7.96;3.77;10.59;5.14;22.37;;4.95;6.35;2.58;3.53;3.97;6.01;4.39
NO2;uur;µg/m³;2024-04-01T19:00:00+01:00;2024-04-01T20:00:00+01:00;5.13;3.12;4.55;9.9;5.7;3.55;9.38;7.32;13.49;12.25;11.74;3.27;2.87;4.54;6.69;4.04;16.07;18.69;4.48;7.71;14.47;26.64;21.93;31.05;32.68;106.25;21.41;6.88;7.04;15.21;16.9;22.84;8.56;6.33;6.53;10.74;21.8;;8.25;6.03;2.41;3.73;5.27;14.27;6.71
NO2;uur;µg/m³;2024-04-01T20:00:00+01:00;2024-04-01T21:00:00+01:00;5.6;3.98;4.9;6.77;6.24;7.5;9.74;8.9;20.21;17.2;14.46;6.44;7.42;5.42;9.12;4.34;34.01;21.77;4.53;9.33;8.21;34.3;31.33;44.63;39.69;63.84;20.39;5.44;8.63;19.17;25.72;31.22;10.85;6.93;9.01;5.75;16.16;;8.1;6.07;3.7;5.09;5.96;21.5;8.91
NO2;uur;µg/m³;2024-04-01T21:00:00+01:00;2024-04-01T22:00:00+01:00;7.89;5.78;2.92;4.96;4.79;7.11;12.06;12.75;20.41;13.8;13.27;7.59;8.67;16.73;12.39;3;34.4;43.27;9.74;13.45;8.45;29.32;40.07;30.31;32.11;6.94;13.61;7.54;11.51;16.17;30.69;31.71;9.1;11.31;7.41;5.18;20.82;;8.97;6.77;3.9;5.52;6.3;18.36;9
NO2;uur;µg/m³;2024-04-01T22:00:00+01:00;2024-04-01T23:00:00+01:00;6.67;5.3;2.29;4.13;5.36;4.92;12.84;8.87;13.03;10.72;11.81;3.85;6.62;10.68;6.78;3.28;26.22;43.43;7.75;13.82;10.1;30.09;38.92;24.9;33.7;11.21;16.31;5.69;7.45;15.88;29.01;23.17;13.75;17.57;8.37;6.82;13.15;;9.17;9.93;4.66;5.49;6.38;18.29;7.53
NO2;uur;µg/m³;2024-04-01T23:00:00+01:00;2024-04-02T00:00:00+01:00;6.68;4.48;2.12;2.69;3.98;4.28;10.77;8.83;10.94;7.93;10.12;5.21;4.65;7.48;6.79;2.93;18.82;25.15;7.92;15.71;9.39;21.69;16.18;22.45;18.02;11.51;15.58;6.38;7.28;13.45;17.51;14.62;13.46;10.65;6.99;9.06;8.53;;9.32;8.55;6.09;5.24;4.87;16.32;6.94
NO2;uur;µg/m³;2024-04-02T00:00:00+01:00;2024-04-02T01:00:00+01:00;6.1;4.96;2.16;2.2;3.51;5.95;12.92;6.57;7;8.4;7.3;4.35;4.37;9.5;7.96;4.63;15.14;30.43;7.4;10.63;10.83;14;17.64;;16.83;15.2;15.72;8.89;7.89;13.98;17.97;13.26;13.52;11.63;5.76;;6.23;;7.51;9.75;7.65;5.13;3.83;9.08;6.39
NO2;uur;µg/m³;2024-04-02T01:00:00+01:00;2024-04-02T02:00:00+01:00;5.24;4.26;2.33;2.06;4.04;4.72;12.44;7.91;5.43;7.74;7.31;4.78;3.92;9.08;7.36;4.7;16.1;34.97;8.65;15.04;8.69;15.83;14.39;18.66;16.93;10.83;12.6;8.48;7.29;14.46;16.21;10.93;12.06;7.13;5.84;;5.51;;7.14;6.58;8.55;5.02;4.29;9.62;5.8
NO2;uur;µg/m³;2024-04-02T02:00:00+01:00;2024-04-02T03:00:00+01:00;5.13;4.28;2.65;2.3;4.53;4.3;10.98;7.66;6.16;7.63;7.49;4.38;4.19;10.77;6.28;4.05;13.69;28.01;7.45;15.49;9.36;13.61;12;18.8;18.71;8.41;9.66;8.81;7.6;9.23;12.31;10.98;9.22;13.35;5.16;6.64;5.37;;6.76;8.71;9.96;5.27;4.93;6.78;6.02
NO2;uur;µg/m³;2024-04-02T03:00:00+01:00;2024-04-02T04:00:00+01:00;4.42;4.15;2.55;2.4;4.01;3.76;9.88;7.98;7.63;7.65;7.34;4.16;4.89;10.06;5.87;3.86;18.73;23.14;7.32;14.52;8.64;15.2;9.96;17.97;24.3;13.35;10.39;8.59;6.46;11.47;17.07;20.07;10.99;10.32;4.22;6.33;6.35;;5.71;11.9;10.59;6.19;4.12;8.88;7.02
NO2;uur;µg/m³;2024-04-02T04:00:00+01:00;2024-04-02T05:00:00+01:00;4.76;4.5;2.07;3.02;4.34;4.44;9.48;9.38;11.54;10.81;8.94;4.15;5.5;9.71;6.02;3.46;23.1;28.17;7.09;12.05;9.22;19.58;9.65;19.77;34.41;15.47;13.67;8.96;6.84;11.93;20.09;27.62;11.52;10.4;4.31;8.21;8.93;;6.33;10.27;8.94;6.58;4.87;13.93;7.99
NO2;uur;µg/m³;2024-04-02T05:00:00+01:00;2024-04-02T06:00:00+01:00;6.38;7.31;5.27;5.55;3.54;5.82;9.53;13.8;22.09;21.32;14.33;4.82;7.09;9.46;6.75;3.61;21.73;33.56;7.29;11.95;10.62;21.29;19.07;30.95;37.59;17.97;20.43;12.23;7.68;17.81;32.89;38.77;16.57;9.58;5.45;9.35;13.15;;6.52;10.82;9.06;6.7;7.36;20.82;9.91
NO2;uur;µg/m³;2024-04-02T06:00:00+01:00;2024-04-02T07:00:00+01:00;8.33;6.41;10.71;12.27;5.43;6.23;9.9;16.75;27.15;24.23;19.78;7;10.02;6.85;7.87;4.78;24.47;40.34;9.26;18.36;12.26;27.32;18.61;31.68;39.16;19.74;24.79;12.24;8.83;23.05;36.94;33.17;20.25;10.21;6.25;10.63;17.74;;7.39;9.04;9.59;7.09;8.99;26.42;11.21
NO2;uur;µg/m³;2024-04-02T07:00:00+01:00;2024-04-02T08:00:00+01:00;7.82;4.81;8.87;13.71;5.98;4.94;11.04;14.91;20.67;21.01;16.15;5.09;7.52;7.6;7.18;5.61;19.13;30.76;10.02;17.87;12.5;22.91;16.68;27.89;33.89;17.08;21.37;12.52;8.63;21.78;25.92;23.07;19.23;12.61;7;10.59;17.85;;9.15;10.12;11.17;7.12;9.46;20.29;10.83
NO2;uur;µg/m³;2024-04-02T08:00:00+01:00;2024-04-02T09:00:00+01:00;8.01;4;8.6;11.51;6.26;3.61;11.57;9.75;16.61;17.67;12.66;4.71;5.99;4.12;6.9;5;12.9;24.02;7.85;13.57;10.04;17.09;8.58;23.57;24.1;16.03;18.87;13.38;8.31;21.68;22.6;19.62;16.51;9.97;6.22;10.14;13.93;;9.12;9.06;11.58;6.76;8.25;16.1;8.83
NO2;uur;µg/m³;2024-04-02T09:00:00+01:00;2024-04-02T10:00:00+01:00;5.64;3.34;6.74;11.14;6.58;3.29;12.96;8.66;12.02;14.86;10.25;4.8;5.72;3.12;7;4.92;12.6;18.95;6.35;12.5;6.74;13.4;7.45;24.38;21.47;23.62;13.21;10.95;6.24;14.98;17.1;16.8;11.42;7.29;5.57;7.96;13.48;;7.97;9.71;10.78;6.43;8.52;17.26;8.15
NO2;uur;µg/m³;2024-04-02T10:00:00+01:00;2024-04-02T11:00:00+01:00;5.63;3.27;6.09;9.23;5.53;4.12;8.7;8.05;12.02;17.73;12.62;5.93;5.03;4.32;7.12;5.37;13.52;19.3;7.84;11.02;6.23;17.13;10.34;22.58;22.38;12.29;10.65;9.59;5.43;12.85;14.52;13.18;8.95;9.03;6.84;7.55;12.09;;6.51;8.86;10;5.81;5.55;14.04;7.58
NO2;uur;µg/m³;2024-04-02T11:00:00+01:00;2024-04-02T12:00:00+01:00;5.43;3.63;4.38;8.4;5.13;4.58;8.61;9.73;16.34;19.76;14.02;4.26;5.87;5.64;5.31;4.98;11.98;18.69;6.85;11.63;9.47;17.13;9.5;18.41;26.54;11.23;12.33;6.1;5.45;16.1;18.24;15.99;11.09;7.28;4.26;4.93;12.14;;4.79;6.95;9.16;5.05;4.44;13.44;7.3
NO2;uur;µg/m³;2024-04-02T12:00:00+01:00;2024-04-02T13:00:00+01:00;5.94;3.65;5.14;8.19;4.67;4.15;8.41;10.12;19.02;18.43;9.68;4.3;7.79;4.3;5.79;5.09;8.36;17.87;7.01;9.63;7.12;11.61;8.04;20.36;22.09;9.28;12.18;6.04;5.59;15.54;18.08;16.09;11.39;7.36;2.61;5.36;11.93;;4.22;6.85;8.05;4.37;5.79;15.18;7.13
NO2;uur;µg/m³;2024-04-02T13:00:00+01:00;2024-04-02T14:00:00+01:00;7.03;4.43;6.55;10.68;6.75;4.33;7.48;12.26;18.45;15.21;11.13;3.71;5.83;5.57;4.23;3.23;11.15;17.24;6.4;11.37;4.7;13.46;10.32;31.88;25.01;10.63;11.55;5.82;6.09;12.5;15.89;16.34;8.16;7.33;8.06;5.33;10.74;;3.54;5.33;7.26;4.33;6.24;12.64;5.79
NO2;uur;µg/m³;2024-04-02T14:00:00+01:00;2024-04-02T15:00:00+01:00;6.35;4.09;7.18;10.01;5.71;3.29;6.97;10.7;16.42;14.61;9.98;4.53;5.9;4.68;4.24;2.66;9.59;17.58;5.89;9.22;4.12;12.22;9.07;18.66;21.2;10.29;9.58;4.62;8.23;17.72;19.47;21.29;10;6.28;4.67;6.89;12.08;;3.99;5.4;6.88;4.32;5.29;13.92;5.3
NO2;uur;µg/m³;2024-04-02T15:00:00+01:00;2024-04-02T16:00:00+01:00;6.89;4.4;6.99;10.28;6.66;4.26;7.57;8.76;17.72;21.17;11.17;5.02;5.48;3.8;6.86;2.68;8.76;14.36;5.47;10.1;3.96;17.03;11.22;19.32;18.91;18.28;10.03;5.94;7.34;12.18;13.43;17.41;7.82;7.05;3.35;7.21;13.37;8.63;4.77;4.63;7.13;4.33;4.95;12.47;5.29
NO2;uur;µg/m³;2024-04-02T16:00:00+01:00;2024-04-02T17:00:00+01:00;6.38;6.47;5.96;10.57;5.51;4.56;5.2;8.04;16.08;21.8;11.7;4.1;3.76;5.2;3.31;2.44;13.59;18.66;5.8;9.62;14.83;20.64;14.32;18.26;26.57;22.4;15;5.87;7.83;14.84;14.41;14.83;9.67;6.07;4.69;5.89;18.15;8.61;6;5.22;6.8;4.11;6.84;12.91;6.12
NO2;uur;µg/m³;2024-04-02T17:00:00+01:00;2024-04-02T18:00:00+01:00;5.46;5.71;6.63;11.27;7.69;5.07;3.29;6.96;15.15;15.2;11.98;4.39;4.85;6.72;4.81;2.21;13.9;15.63;6.04;7.64;12.86;20.66;13.89;20.69;26.08;19.22;19.62;4.84;9.44;12.14;14.91;15.62;7.93;6.08;4.87;4.75;18.87;11.22;5.31;5.86;3.93;4.68;7.08;18.95;8.02
NO2;uur;µg/m³;2024-04-02T18:00:00+01:00;2024-04-02T19:00:00+01:00;10.56;5.29;5.62;16.61;8.38;6.68;4.24;8.61;17.33;10.22;7.55;8.03;5.47;8.62;7.26;2.69;18.71;11.98;4.93;7.82;6.98;25.62;20.7;23.16;31.95;16.29;11.85;5.53;10.16;15.48;14.98;16.89;12.93;6.72;6.49;5.36;22;13.31;7.22;7.01;5.52;5.74;6.78;17.01;7.11
