Export;EXP-2024-001 (2024-02-21T15:02:22+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-01-06T22:00:00+01:00;2024-01-06T23:00:00+01:00;8.71;6.99;8.89;12.86;8.69;7.54;10.05;10.03;10.54;7.52;6.48;9.69;7.5;7.4;9.39;18.76;7.49;13.16;8.4;8.35;3.55;10.26;8.57;11.8;13.46;2.98;4.57;4.85;3.98;6.7;7.72;4.61;7.25;4.47;12.29;7.25;18.23;13.83;8.08;4.61;3.5;6.63;3.29;10.27;3.68
NO2;uur;µg/m³;2024-01-06T23:00:00+01:00;2024-01-07T00:00:00+01:00;10.2;7.42;8.39;11.97;7.82;6.37;8.96;8.99;7.88;7.17;7.31;6.11;6.94;7.2;12.06;21.25;6.31;13.46;7.81;10.71;2.99;10.02;6.18;11.37;14.05;2.72;4.79;4.61;4.56;5.97;7.31;5.47;7.34;5.38;10.06;6.87;21.25;14;6.64;4.64;3.26;5.97;3.49;9.16;3.04
NO2;uur;µg/m³;2024-01-07T00:00:00+01:00;2024-01-07T01:00:00+01:00;9.54;7.84;;9.63;8.56;6;7.54;10.57;8.92;6.01;7.14;5.33;7.83;9.02;6.69;14.47;5.34;12.07;7.96;6.37;3.54;6.86;6.17;7.09;8.32;2.62;5.43;4.65;4.56;5.02;6.77;4.92;5.37;4.47;7.65;5.79;17.63;13.05;6.64;4.59;2.99;5.29;3.95;8.14;2.88
NO2;uur;µg/m³;2024-01-07T01:00:00+01:00;2024-01-07T02:00:00+01:00;9.11;7.89;7.46;9.66;8.46;6.79;5.19;8.6;8.86;5.93;6.85;5.2;8.12;8.69;6.03;11.08;4.6;8.48;6.06;6.16;3.22;5.78;6.95;7.05;6.3;2.37;4.56;4.36;4.34;4.89;6.31;4.56;5.37;4.18;6.65;5.41;12.98;9.99;5.86;4.29;2.77;4.96;2.36;6.64;2.66
NO2;uur;µg/m³;2024-01-07T02:00:00+01:00;2024-01-07T03:00:00+01:00;9.13;7.64;8.13;10.26;9.04;6.96;6.06;8.45;8.83;6.1;6.16;5.03;8.21;7.86;5.72;6.57;5.23;7.72;5.13;5.37;3.15;6;8.35;8.93;7.03;2.03;4.61;4.14;4.09;4.58;6.01;4.4;5.1;3.99;6.32;4.9;15.33;10.7;5.06;3.91;2.72;4.45;2.27;4.85;2.59
NO2;uur;µg/m³;2024-01-07T03:00:00+01:00;2024-01-07T04:00:00+01:00;9.13;7.19;9.06;9.37;8.46;7.29;5.41;8.09;8.56;6.12;6.24;4.84;8.5;7.4;6.62;8.61;5.31;5.48;4.3;5.9;3.02;5.85;7.92;6.59;6.06;2.18;3.76;3.92;3.69;4.06;5.07;4.23;4.39;4.47;4.59;4.67;12.34;9.63;4.99;3.6;2.66;4.06;1.91;5.6;2.46
NO2;uur;µg/m³;2024-01-07T04:00:00+01:00;2024-01-07T05:00:00+01:00;7.37;5.47;9.12;9.72;8.93;5.87;5.07;7.73;9;5.45;5.85;5.84;7.89;6.71;5.92;10.8;5.27;4.87;3.84;5.47;3.13;6.07;5.54;5.16;6.29;1.79;3.33;3.39;3.54;3.83;5.2;4.2;4.01;3.97;4.19;4.04;9.44;7.97;4.55;3.32;2.47;3.27;1.83;5.05;2.3
NO2;uur;µg/m³;2024-01-07T05:00:00+01:00;2024-01-07T06:00:00+01:00;6.19;4.26;8.26;8.96;7.74;5.89;4.65;6.63;10.1;5.37;5.43;5.99;7.41;5.29;5.92;6.07;6.12;4.39;3.78;4.77;2.92;5.07;4.54;5.91;6.59;1.77;3.6;3.43;3.39;3.73;4.95;3.38;3.94;4.2;3.9;3.85;7.21;5.08;3.88;3.11;2.65;3.26;2;4.15;1.93
NO2;uur;µg/m³;2024-01-07T06:00:00+01:00;2024-01-07T07:00:00+01:00;;;6.34;8.44;;4.49;4.61;;;;5.81;;5.64;;8.07;8.07;;;3.86;6.41;;;4.22;;;;4.11;;;;;;3.98;;;;;;;3.03;;;;;1.84
NO2;uur;µg/m³;2024-01-07T07:00:00+01:00;2024-01-07T08:00:00+01:00;4.42;3.5;6.89;9.67;8.29;5.78;4.69;4.97;6.67;5.05;5.43;6.21;5.34;4.95;7.98;5.19;5.5;4.19;3.62;5.23;3.14;7.07;3.87;6.26;10.69;1.59;3.66;2.74;2.95;4.16;5.06;4.39;3.87;3.68;3.18;3.48;7.62;;;2.6;2.37;2.72;;3.01;1.71
NO2;uur;µg/m³;2024-01-07T08:00:00+01:00;2024-01-07T09:00:00+01:00;4.7;3.44;7.34;11.56;10.07;5.97;4.57;4.8;7.76;4.84;4.79;9.5;4.55;5.94;10.78;5.85;6.22;4.16;4.34;4.98;3.75;7.22;4.61;8.05;8.43;1.87;4.64;2.87;2.97;4.32;7.26;3;4.01;3.17;2.88;3.45;10.15;5.07;3.35;3.59;1.8;2.15;1.85;2.21;0.94
NO2;uur;µg/m³;2024-01-07T09:00:00+01:00;2024-01-07T10:00:00+01:00;5.3;3.69;6.42;12.71;9.58;4.96;4.19;5.43;8.99;5.11;5.1;8.95;4.76;5.5;10.08;5.17;6.7;4.55;3.69;6.18;4.31;7.65;4.29;6.84;13.64;1.37;4.91;2.73;2.51;4.27;6.09;4.21;4.34;3.34;2.87;3.63;9.02;8.68;3.28;2.95;1.72;2.07;1.99;2.39;1.68
NO2;uur;µg/m³;2024-01-07T10:00:00+01:00;2024-01-07T11:00:00+01:00;7.4;3.09;8.77;13.45;10.01;5.84;4.1;5.93;11.19;5.69;5.36;10.88;5.94;5.12;8.63;7.84;7.15;6.08;4.15;5.97;5.67;9.55;4.49;8.16;14.59;1.33;5.44;2.39;2.81;4.32;7.27;3.94;4.88;3.2;2.79;3.23;7.78;6.33;2.83;2.5;1.64;1.91;1.68;4.85;2.18
NO2;uur;µg/m³;2024-01-07T11:00:00+01:00;2024-01-07T12:00:00+01:00;7.85;3.67;9.84;14.47;10.27;4.99;4.38;7.37;10.52;7.16;5.72;11.12;5.99;5.65;6.22;7.73;6.92;8.3;4.35;6.42;5.52;8.96;4.33;8.04;14.96;1.03;6.42;1.98;2.92;4.22;7.88;3.7;4.78;3.58;2.33;3.34;8.9;7.3;2.36;2.4;1.57;2.38;2.18;6.58;1.69
NO2;uur;µg/m³;2024-01-07T12:00:00+01:00;2024-01-07T13:00:00+01:00;9.65;3.52;11.71;15.64;10.29;5.07;4.7;7.33;12.05;6.77;6.62;10.17;6.57;5.81;4.11;8.27;7.12;7.77;4.64;5.94;4.08;9.84;4.58;9.82;17.18;1.13;7.03;1.88;2.9;3.29;6.35;3.83;4.08;3.41;1.64;3.06;9.56;6.53;2.23;2.06;1.9;2.68;3.25;11.27;2.43
NO2;uur;µg/m³;2024-01-07T13:00:00+01:00;2024-01-07T14:00:00+01:00;10.75;2.6;10.5;17.31;11.3;4.89;5.02;7.55;11.57;7.03;5.85;10;5.84;4.87;4.06;7.85;6.78;7.78;4.92;5.87;3.4;10.23;4.08;9.73;17.02;1.36;9.27;1.89;1.91;2.83;6.19;2.5;3.75;2.84;1.53;2.58;11.88;4.86;2.23;2.5;2.86;3.29;2.28;13.96;2.13
NO2;uur;µg/m³;2024-01-07T14:00:00+01:00;2024-01-07T15:00:00+01:00;12.1;2.39;10.93;16.44;11.45;4.92;4.77;8.9;12.51;6.4;5.49;7.64;5.91;3.73;4.52;10.58;5.76;6.83;4.11;6;3.25;11.05;4.22;9.56;19.74;1.48;6.5;2.11;2.15;3.35;6.69;3.08;3.76;2.33;1.87;2.29;9;5.17;2.22;2.7;2.65;3.1;2.12;12.42;2.17
NO2;uur;µg/m³;2024-01-07T15:00:00+01:00;2024-01-07T16:00:00+01:00;9.14;2.83;10.82;14.43;9.32;3.66;4.79;7.86;9.2;6.61;5.47;6.22;4.91;3.87;4.73;8.8;6.14;7.56;3.93;7.23;4.33;13.64;4.25;9.64;23.42;2.16;6.85;2.39;2.79;4.06;7.75;4.27;4.53;2.79;2.5;2.54;13.47;5.74;3.24;3.36;3.49;3.61;2.92;16.94;3.33
NO2;uur;µg/m³;2024-01-07T16:00:00+01:00;2024-01-07T17:00:00+01:00;7.98;1.72;10.23;12.79;8.57;3.8;4.68;7.61;10.7;6.59;6.13;5.14;4.91;3.98;3.26;7.98;8.52;7.96;4.01;5.1;6.68;13.25;5.12;11.88;26.14;2.37;9.69;3.41;3.71;5.27;10.09;5.74;6.72;3.29;4.13;3.99;16.48;8.2;4.76;3.98;4.13;4.17;3.61;23.19;3.97
NO2;uur;µg/m³;2024-01-07T17:00:00+01:00;2024-01-07T18:00:00+01:00;7.21;2.33;8.85;12.45;7.34;4.34;5.21;10.02;11.16;8.44;7.17;5.67;6.45;5.57;3.75;5.58;10.44;9.68;5.87;8.17;8.47;17.7;6.3;16.18;27.87;2.16;10.55;3.37;4.55;11.64;14.51;6.09;11.08;4.91;5.96;4.3;18.07;11.43;5.73;4.55;5.92;4.21;3.53;23.09;
NO2;uur;µg/m³;2024-01-07T18:00:00+01:00;2024-01-07T19:00:00+01:00;7.88;3.99;6.09;10.3;6.18;4.33;5.42;11.85;16.02;11.75;8.15;11.24;6.72;8.52;3.71;6.6;13.13;13.23;7.97;9.07;7.2;18.55;7.08;21.67;28.43;2.11;10.09;3.83;5.68;14.11;17.96;6.31;11.96;7.41;8.51;5.25;18.1;13.04;5.95;5.41;3.91;5.2;3.74;17.49;
NO2;uur;µg/m³;2024-01-07T19:00:00+01:00;2024-01-07T20:00:00+01:00;7.04;6.38;4.94;5.92;4.46;7.31;7.12;13.71;19.92;10.41;8.05;12.72;8.83;12.12;4.76;5.6;24.37;10.7;8.74;12.35;5.96;30.46;8.28;19.54;41.59;2.38;9.8;4.35;5.07;11.65;15.5;5.4;10.54;8.42;7.74;5.24;14.56;11.2;5.26;5.32;4.78;3.45;2.77;17.14;
NO2;uur;µg/m³;2024-01-07T20:00:00+01:00;2024-01-07T21:00:00+01:00;8.12;6.47;6.97;8.8;5.72;8.19;5.91;12.21;12.97;7.93;7.05;18.54;9.42;10.46;7.45;7.29;24.27;11.06;6.99;12.03;5.44;28.24;10.3;14.27;43.04;2.24;9.37;3.8;5.34;12.18;13.7;6.18;13.03;8.51;7.38;5.87;17.56;12.67;6.26;3.86;5.02;3.14;2.54;15.55;
NO2;uur;µg/m³;2024-01-07T21:00:00+01:00;2024-01-07T22:00:00+01:00;7.53;6.83;9.42;12.12;9.52;7.62;5.56;10.97;11.95;7.76;7.14;21.19;8.34;10.15;8.07;9.34;21.15;9.62;6.82;10.84;5.3;21.58;18.71;15.61;28.35;2.3;8.66;3.23;4.83;8.63;12.81;5.27;11.51;7.21;7.64;6.16;14.55;12.14;5.88;4.58;5.02;2.57;3.31;8.9;
NO2;uur;µg/m³;2024-01-07T22:00:00+01:00;2024-01-07T23:00:00+01:00;6.81;5.66;10.19;15.37;12.5;7.35;6.63;10.22;11.53;7.08;6.35;12.78;8.32;8.47;7.37;10.76;15.62;8.36;6.32;11.43;4.97;17.54;36;17.37;22.85;2.1;8.96;2.85;4.11;5.83;8.23;4.04;5.84;5.3;5.9;4.61;11.76;9.87;2.91;2.51;4.6;1.86;2.54;7.42;
NO2;uur;µg/m³;2024-01-07T23:00:00+01:00;2024-01-08T00:00:00+01:00;6.33;5.41;8.25;15.27;12.36;6.42;6.6;10.63;11.39;6.52;7.89;6.64;9.52;7.04;11.33;7.6;16.15;7.08;4.62;9.07;4.58;17.32;16.43;16.05;21.57;2.77;6.72;2.27;3.45;3.26;6.54;3.8;3.73;3.67;4.76;;6.38;;2.99;2.52;4.79;2.31;3.06;7.55;
NO2;uur;µg/m³;2024-01-08T00:00:00+01:00;2024-01-08T01:00:00+01:00;4.99;4.56;;9.83;9.01;4.25;5.78;5.62;8.04;4.58;3.83;10.12;4.82;3.57;14.21;5.96;12.66;5.83;3.91;6.94;3.89;12.5;4.2;;14.71;2.65;7.01;2.36;2.95;2.2;3.64;3.77;2.25;2.32;4.15;;4.93;;3.54;2.52;3.9;3.12;2.27;5.24;
NO2;uur;µg/m³;2024-01-08T01:00:00+01:00;2024-01-08T02:00:00+01:00;4.56;3.51;6.69;8.01;7.34;2.89;3.08;4.43;6.78;4.28;2.68;7.05;4.04;3.73;11.4;5.2;7.48;4.69;4.4;5.71;3.96;9.93;3.23;;12.62;2.49;4.75;2.35;2.03;2.31;3.82;2.34;2.42;2.36;4.08;;6.27;5.01;3.53;2.45;2.95;3.27;2.12;3.82;
NO2;uur;µg/m³;2024-01-08T02:00:00+01:00;2024-01-08T03:00:00+01:00;4.74;3.41;5.57;4.71;4.86;2.91;2.34;3.85;6.96;3.87;2.76;8.34;3.47;4.49;6.48;5.42;5.41;3.75;4.18;5.8;3.66;7.35;2.59;;8.3;2.15;4.02;2.49;1.79;2.72;4.22;2.61;2.88;2.73;5.71;;5.66;4.39;3.96;2.5;2.65;3.37;2.41;4.49;
NO2;uur;µg/m³;2024-01-08T03:00:00+01:00;2024-01-08T04:00:00+01:00;4.37;3.97;4.74;4.49;3.99;2.51;2.22;3.99;6.81;4.31;2.99;5.9;3.34;4.4;2.69;6.16;3.58;2.96;3.99;6.27;4.91;3.57;2.22;;6.08;1.85;4.31;2.37;1.94;2.89;4.07;3.3;2.82;2.55;5.19;;7.18;6.13;3.85;2.95;2.31;4.13;3.28;4.06;
NO2;uur;µg/m³;2024-01-08T04:00:00+01:00;2024-01-08T05:00:00+01:00;4.52;3.67;6.4;6.21;6.37;2.8;2.27;4.75;7.4;4.87;3.21;9.82;3.82;4.36;2.8;8.47;3.7;5.22;5.9;7.11;4.25;4.07;2.49;;8.31;1.71;5.03;2.9;2.19;4.34;4.4;2.5;3.71;2.86;5.65;;6.95;6.56;4.21;4.05;2.51;4.47;3.96;4.28;
NO2;uur;µg/m³;2024-01-08T05:00:00+01:00;2024-01-08T06:00:00+01:00;5.12;4.41;7.32;10.95;8.62;3.63;2.71;5.86;6.82;5.95;4.45;12.54;4.69;5.39;3.06;3.38;4.4;6.81;6.8;7.71;4.49;8.04;3.07;;20.06;1.91;4.21;3.68;2.82;6.23;6.43;3.85;4.4;3.58;6.14;;6.87;6.02;4.2;3.7;3.03;3.71;2.57;5.02;
NO2;uur;µg/m³;2024-01-08T06:00:00+01:00;2024-01-08T07:00:00+01:00;5.64;5.35;7.69;13.01;9.58;4.53;4.12;7.46;11.15;7.25;5.88;8.95;6.97;9.9;4.9;5.67;10.47;10.72;11.3;11.11;6.79;15.12;5.65;;33.64;1.89;8.84;3.45;3.93;7.18;8.97;4.24;7.08;6.11;6.88;;11.83;9.74;4.6;3.92;3.72;4.61;3.37;9.41;
NO2;uur;µg/m³;2024-01-08T07:00:00+01:00;2024-01-08T08:00:00+01:00;7.08;6.37;8.02;17.06;9.52;6.25;5.81;8.85;14.01;13.67;7.72;15.06;8.6;12.72;12.19;12.96;16.92;16.53;10.36;13.37;6.34;22.86;9.29;;36.6;1.91;21.06;3.14;4.72;10.79;12.91;5.22;10.81;7.26;8.45;;17.96;13.71;5.22;4.49;3.93;5.93;4.07;15.88;
NO2;uur;µg/m³;2024-01-08T08:00:00+01:00;2024-01-08T09:00:00+01:00;7.98;8.09;9.7;20.4;10.96;8.56;5.78;10.64;18.18;14.04;9.09;16.12;10.81;12.44;14.3;10.4;15.23;16.24;11.91;14.58;8.19;22.5;9.85;;34.77;1.77;13.15;3.5;6.75;10.88;14.18;6.25;10.69;8.47;10.43;;19.67;13.96;5.3;6.73;4.8;5.47;4.83;21.18;
NO2;uur;µg/m³;2024-01-08T09:00:00+01:00;2024-01-08T10:00:00+01:00;9.05;7.54;10.94;19.61;12.52;7.11;6.16;10.1;15.81;15.3;8.65;16.24;9.83;11.28;20.8;10.79;18.37;14.66;10.64;;5.96;21.75;11.91;;34.95;3.46;11.84;4.42;5.19;7.04;11.23;5.87;9.58;8.6;8.28;;16.15;11.94;5.74;5.69;6.2;4.86;7.7;21.72;
NO2;uur;µg/m³;2024-01-08T10:00:00+01:00;2024-01-08T11:00:00+01:00;10.02;6.98;13.55;20.4;10.64;8.08;6.64;10.03;15.09;12.85;8.61;13.35;10.05;8.18;10.91;10.28;13.39;13.6;7.13;10.92;7.82;17.49;7.03;;25.57;4.67;9.65;5.28;4.01;6.68;10.33;4.94;7.59;5.8;7.66;;13.34;10.4;5.09;4.57;7.23;5.07;6.22;14.77;
NO2;uur;µg/m³;2024-01-08T11:00:00+01:00;2024-01-08T12:00:00+01:00;10.68;5.28;12.91;16.65;10.43;6.05;6.32;10.05;15.96;13.35;7.46;11.56;9.6;7.62;4.38;5.77;8.37;11.7;6.58;9.01;6.01;13.14;5.33;;23.81;2.92;10.41;4.92;4.45;6.77;11.55;5.68;7.86;6.63;6.05;5.76;17.42;11.2;4.96;4.12;5.18;5.1;4.21;14.62;
NO2;uur;µg/m³;2024-01-08T12:00:00+01:00;2024-01-08T13:00:00+01:00;9.57;4.09;12.15;18.54;10.65;5.4;6.71;8.01;11.44;9.98;7.25;8.36;6.5;7.22;4.99;5.7;8.66;10.54;5.52;8.67;4.5;12.99;7.16;;25.68;3.08;11.57;4.26;4.84;6.9;11.49;5.96;8.22;5.73;2.91;4.81;15.09;9.61;3.72;4.41;2.45;4.87;3.67;8.95;
NO2;uur;µg/m³;2024-01-08T13:00:00+01:00;2024-01-08T14:00:00+01:00;9.98;2.57;9.3;14.81;9.24;5.7;5.57;7.2;9.36;10.98;7.34;9.31;6.02;4.64;4.86;6.26;9.51;12.89;6.27;10.01;5.23;14.55;6.76;;28.19;2;13.2;4.33;4.58;6.08;11.32;5.98;7.24;5.07;3.25;3.47;12.54;7.21;2.93;4.8;;3.74;3.9;9.67;
NO2;uur;µg/m³;2024-01-08T14:00:00+01:00;2024-01-08T15:00:00+01:00;11.66;3.53;9.66;14.31;9.69;4.07;6.06;7.05;9.67;12.47;8.27;9.82;5.58;4.96;5.37;7.3;9.05;12.23;5.51;8.45;6.17;14.41;6.24;;28.05;2.9;12.38;4.01;4.51;6.23;9.9;5.23;6.72;5.65;3.14;;13.88;6.38;2.75;5.2;;4.28;4.46;14.35;
NO2;uur;µg/m³;2024-01-08T15:00:00+01:00;2024-01-08T16:00:00+01:00;13.45;3.87;12.08;18.53;11.35;5.3;6.34;7.69;13.2;11.68;6.63;8.28;6.8;5.57;5.53;9.07;9.6;13.88;8.23;7.25;6.34;15.9;7.22;;28.04;3.7;12.78;4.04;5.76;6.37;9.72;6.43;6.58;5.97;3.7;;18.47;9.17;3.21;5.45;3.74;4.58;4.99;16.68;
NO2;uur;µg/m³;2024-01-08T16:00:00+01:00;2024-01-08T17:00:00+01:00;11.43;4.81;14.24;20.19;12.11;7.1;6.22;9.44;;13.98;8.52;10.66;8.29;7.77;7.24;8.7;11.17;12.13;6.82;9.22;8.64;18.24;8.64;;27.09;3.63;17.27;4.58;4.62;5.66;12.25;5.55;7.3;6.82;4.17;7.48;15.91;9.97;4.34;6.98;5.85;6.35;8.01;16.71;
NO2;uur;µg/m³;2024-01-08T17:00:00+01:00;2024-01-08T18:00:00+01:00;12.15;5.06;15.35;22.54;13.35;6.71;6.2;8.93;;12.31;7.62;9.63;8.21;7.6;6.01;9.14;10.19;9.6;8.11;10.96;8.19;16.76;8.91;;28.84;4.51;21.3;5.55;5.26;7.37;12.45;6.29;8.37;9.98;4.75;9.19;18.76;11.33;5.43;7.75;5.68;6.67;6.83;14.55;
NO2;uur;µg/m³;2024-01-08T18:00:00+01:00;2024-01-08T19:00:00+01:00;10.94;5.28;15.51;17.66;11.76;6.36;7.12;9.94;;12.76;7.7;8.29;8.44;7.22;6.18;6.59;9.93;8.92;7.75;10.34;6.73;16.8;7.47;;23.74;4.67;16.52;5.33;5.49;8.01;12.39;6.58;8.96;7.17;5.1;8.63;16.56;11.53;4.37;7.6;5.31;7.58;5.12;10.13;
NO2;uur;µg/m³;2024-01-08T19:00:00+01:00;2024-01-08T20:00:00+01:00;11.68;5.68;13.5;15.07;12.75;6.44;6.07;9.43;;11.53;8.92;6.91;8.74;7.36;6.49;8.26;9.68;8.18;7.19;9.67;6.39;15.77;7;;20.14;4.7;15.39;5.51;5.45;7.42;11.08;7.06;8.03;6.57;5.22;7.18;16.79;10.83;5.63;7.25;5.28;7.35;5.31;9.83;
NO2;uur;µg/m³;2024-01-08T20:00:00+01:00;2024-01-08T21:00:00+01:00;10.96;5.84;13.01;15.76;14.16;6.89;5.44;8.73;11.48;8.03;8.21;5.49;9.52;6.53;6.89;9.13;9.48;7.81;7.21;8.76;7.2;13.09;7.02;;16.74;3.66;15.66;5.97;5.62;6.22;9.64;6.63;6.12;6.76;5.17;4.85;13.38;9.22;4.82;6.5;4.82;6.28;5.63;10.78;
NO2;uur;µg/m³;2024-01-08T21:00:00+01:00;2024-01-08T22:00:00+01:00;10.28;5.52;14.26;16.04;15.24;8.49;5.46;8.53;10.64;7.93;6.27;5.69;9.58;6.59;6.44;11.62;8.06;7.11;6.51;7.48;7.38;12.14;6.66;;14.69;3.74;15.08;5.83;5.49;5.91;9.2;6.42;6.11;6.06;4.64;4.23;11.19;9.61;4.16;6.95;4.3;6.6;4.8;10.03;
NO2;uur;µg/m³;2024-01-08T22:00:00+01:00;2024-01-08T23:00:00+01:00;9.92;5.12;14.54;16.15;15.47;8.31;5.3;7.18;9.6;7.69;6.25;5.06;8.78;6.43;6.35;10.24;7.05;6.3;6.49;8.18;7.48;10.2;6.28;;15.04;3.62;16.03;5.85;4.77;5.54;8.04;5.02;6.03;5.79;4.83;4.55;12.7;8.07;3.91;6.62;4.4;6.24;3.66;6.71;
NO2;uur;µg/m³;2024-01-08T23:00:00+01:00;2024-01-09T00:00:00+01:00;10;4.87;11.91;15.5;14.67;5.7;4.94;6.73;8.46;10.03;6.43;4.9;7.37;6.18;6.22;10.43;6.27;5.85;5.23;7.68;6.49;8.62;5.29;;11.85;3.66;14.12;5.39;4.34;4.9;7.33;4.93;5.14;5.21;4.48;4.25;10.75;7.03;4.13;6.41;4.44;6.26;3.6;5.73;
NO2;uur;µg/m³;2024-01-09T00:00:00+01:00;2024-01-09T01:00:00+01:00;9.12;4.37;12.03;14.51;13.25;5.74;4.72;6.12;7.39;;5.36;4.4;7.17;5.43;5.68;8.32;5.43;4.7;4.87;6.82;5.55;6.89;4.44;;8.43;4.03;13.76;4.9;3.51;4.12;5.93;4.37;4.36;4.64;4.68;4.69;9.33;7.09;4.07;5.13;4.44;5.61;4.42;5.35;
NO2;uur;µg/m³;2024-01-09T01:00:00+01:00;2024-01-09T02:00:00+01:00;9.36;4.21;11.5;14.39;13.29;5.6;4.64;5.72;6.54;;5.23;4.04;6.37;5.77;5.22;9.86;5.1;4.1;5.02;6.16;4.84;5.86;3.88;6.4;7.39;3.84;13.73;5.06;3.37;3.83;5.24;3.71;4.04;4.81;4.28;3.43;6.79;6.04;3.96;4.91;4.28;5.1;4.23;5.19;
NO2;uur;µg/m³;2024-01-09T02:00:00+01:00;2024-01-09T03:00:00+01:00;9.49;4.59;13.27;13.11;11.96;5.49;4.43;5.54;6.32;5.62;5.15;4.34;6.24;6.56;4.91;7.44;4.9;3.97;4.38;6.81;4.78;5.35;3.72;6.19;6.72;3.95;14.41;4.55;3.07;4.09;5.2;3.87;3.91;4.39;4.34;3.18;6.46;5.9;3.76;4.87;4.65;4.49;4.48;5.13;
NO2;uur;µg/m³;2024-01-09T03:00:00+01:00;2024-01-09T04:00:00+01:00;9.66;4.91;12.67;13.38;12.29;5.48;4.4;5.94;6.52;7.18;5.89;4.19;6.04;7;5.06;8.3;4.6;3.93;3.8;5.49;4.59;5.72;4.14;7.1;6.2;4.09;15.73;3.89;3.12;4.1;5.26;3.96;4.35;4.4;4.53;3.27;6.23;5.58;4.42;4.63;4.39;4.37;4.36;5.13;
NO2;uur;µg/m³;2024-01-09T04:00:00+01:00;2024-01-09T05:00:00+01:00;9.29;5.27;12.64;14.39;12.66;5.48;4.52;6.15;7.61;8;6.33;4.56;7.29;6.47;4.81;6.95;4.8;3.62;4.67;6.11;5.29;5.7;3.88;8.05;8.8;3.89;14.51;3.92;3.09;4.49;5.96;3.6;4.6;4.65;5.49;4.2;6.61;5.9;4.88;4.12;4.13;3.97;4.34;5.32;
NO2;uur;µg/m³;2024-01-09T05:00:00+01:00;2024-01-09T06:00:00+01:00;9.16;5.36;13.18;15.42;13.37;6.45;5.25;7.5;9.19;10.2;6.87;5.45;8.27;6.74;5.25;8.72;5.22;4.33;4.15;7.25;5.56;8.34;4.53;9.17;15.01;3.75;15.02;4.38;3.24;5.1;6.33;3.47;4.85;5.73;6.36;4.59;8.7;6.89;4.29;3.62;4.12;3.52;4.16;5.53;
NO2;uur;µg/m³;2024-01-09T06:00:00+01:00;2024-01-09T07:00:00+01:00;12.44;5.7;14.08;19.6;15.85;8.52;6;8.42;12.23;13.42;7.42;7.18;10.99;8.79;6.11;11.41;7.29;7.83;6.61;8.35;5.46;14.1;7.05;15.98;21.28;3.54;22.11;4.78;4.4;6.9;11.68;4.7;7.4;7.67;7.78;6.47;14.13;8.45;4.93;3.73;4.48;4.65;4.8;6.82;
NO2;uur;µg/m³;2024-01-09T07:00:00+01:00;2024-01-09T08:00:00+01:00;17.22;7.58;18.98;26.43;17.71;10.18;7.51;11.3;17.86;19.04;11.32;10.17;14.24;10.31;7.33;12.73;10.9;17.4;10.68;13.63;8.01;19.84;9.17;19.99;27.66;4.24;26.18;5.87;5.53;10.12;17.91;6.72;11.51;11.26;9.12;11.44;19.41;12.62;6.49;5.31;4.79;5.23;5.41;12.59;
NO2;uur;µg/m³;2024-01-09T08:00:00+01:00;2024-01-09T09:00:00+01:00;26.75;8.75;21.57;32.57;22.44;11.2;11.38;12.24;22.65;23.76;15.19;11.73;17.27;10.92;10.45;15.99;12.58;24.34;14.51;19.9;12.04;21.78;10.85;21.39;30.04;4.12;31.8;7.01;6.99;11.78;18;7.91;14.34;12.39;10.77;11.48;18.83;14.69;5.7;8.42;5.62;7.71;6.04;15.78;
NO2;uur;µg/m³;2024-01-09T09:00:00+01:00;2024-01-09T10:00:00+01:00;27.45;9.24;21.46;28.59;19.97;11.38;11.38;13.87;15.63;21.47;15.75;11.45;15.24;10.93;12.13;13.86;13.52;21.96;11.62;14.61;10.57;23.8;11.32;21.33;31.41;4.7;25.94;7.83;7.36;12.55;18.09;8.84;14.17;13.11;11.37;12.27;17.45;14.88;6.67;8.82;8.5;8.5;7.46;18.67;
NO2;uur;µg/m³;2024-01-09T10:00:00+01:00;2024-01-09T11:00:00+01:00;24.47;7.76;20.2;26.44;19.5;13.09;10.27;12.25;14.88;19.11;14.78;9.68;12.38;10.34;11.17;10.87;13.23;20.51;10.68;12.22;10.41;20.32;10.32;18.31;26.28;4.29;29.38;6.81;6.74;10.55;16.37;7.03;12.4;10.3;10.34;11.01;18.93;13.29;6.12;6.18;6.07;7.08;7.58;13.28;
NO2;uur;µg/m³;2024-01-09T11:00:00+01:00;2024-01-09T12:00:00+01:00;23.21;7.71;18.71;22.64;17.69;13.01;9.67;12.57;16.1;17.66;13.19;10.51;11.68;9.91;10.93;12.02;12.03;19.3;9.47;11.01;11.66;20.84;8.61;18.21;25.94;10.36;25.8;7.4;6.39;9;16.96;7.2;10.29;9.39;10.49;9.26;23.58;12.48;5.78;5.94;5.98;6.85;6.59;13.74;
