Component,Einddatumtijd,NL10643
O3,2023-01-01T01:00:00+01:00,46.03
O3,2023-01-01T02:00:00+01:00,54.45
O3,2023-01-01T03:00:00+01:00,58.59
O3,2023-01-01T04:00:00+01:00,59.8
O3,2023-01-01T05:00:00+01:00,63.02
O3,2023-01-01T06:00:00+01:00,64.1
O3,2023-01-01T07:00:00+01:00,64.85
O3,2023-01-01T08:00:00+01:00,71.86
O3,2023-01-01T09:00:00+01:00,74.17
O3,2023-01-01T10:00:00+01:00,73.38
O3,2023-01-01T11:00:00+01:00,69.54
O3,2023-01-01T12:00:00+01:00,68.64
O3,2023-01-01T13:00:00+01:00,66.02
O3,2023-01-01T14:00:00+01:00,59.86
O3,2023-01-01T15:00:00+01:00,60.85
O3,2023-01-01T16:00:00+01:00,56.05
O3,2023-01-01T17:00:00+01:00,51.1
O3,2023-01-01T18:00:00+01:00,47.58
O3,2023-01-01T19:00:00+01:00,49.21
O3,2023-01-01T20:00:00+01:00,47.16
O3,2023-01-01T21:00:00+01:00,48.37
O3,2023-01-01T22:00:00+01:00,52.8
O3,2023-01-01T23:00:00+01:00,54.43
O3,2023-01-02T00:00:00+01:00,50.45
O3,2023-01-02T01:00:00+01:00,43.78
O3,2023-01-02T02:00:00+01:00,40.62
O3,2023-01-02T03:00:00+01:00,38.79
O3,2023-01-02T04:00:00+01:00,38.95
O3,2023-01-02T05:00:00+01:00,44.82
O3,2023-01-02T06:00:00+01:00,48.25
O3,2023-01-02T07:00:00+01:00,48.22
O3,2023-01-02T08:00:00+01:00,61.25
O3,2023-01-02T09:00:00+01:00,65.71
O3,2023-01-02T10:00:00+01:00,64.13
O3,2023-01-02T11:00:00+01:00,54.95
O3,2023-01-02T12:00:00+01:00,57.37
O3,2023-01-02T13:00:00+01:00,61.19
O3,2023-01-02T14:00:00+01:00,56.31
O3,2023-01-02T15:00:00+01:00,50.17
O3,2023-01-02T16:00:00+01:00,45.57
O3,2023-01-02T17:00:00+01:00,59.4
O3,2023-01-02T18:00:00+01:00,54.66
O3,2023-01-02T19:00:00+01:00,54.88
O3,2023-01-02T20:00:00+01:00,49.4
O3,2023-01-02T21:00:00+01:00,36.66
O3,2023-01-02T22:00:00+01:00,23.79
O3,2023-01-02T23:00:00+01:00,24.31
O3,2023-01-03T00:00:00+01:00,30.27
O3,2023-01-03T01:00:00+01:00,29.58
O3,2023-01-03T02:00:00+01:00,29.87
O3,2023-01-03T03:00:00+01:00,36.1
O3,2023-01-03T04:00:00+01:00,22.26
O3,2023-01-03T05:00:00+01:00,13.43
O3,2023-01-03T06:00:00+01:00,16.98
O3,2023-01-03T07:00:00+01:00,10.22
O3,2023-01-03T08:00:00+01:00,8.59
O3,2023-01-03T09:00:00+01:00,12.6
O3,2023-01-03T10:00:00+01:00,15.18
O3,2023-01-03T11:00:00+01:00,22.98
O3,2023-01-03T12:00:00+01:00,29.29
O3,2023-01-03T13:00:00+01:00,34.24
O3,2023-01-03T14:00:00+01:00,40.24
O3,2023-01-03T15:00:00+01:00,51.2
O3,2023-01-03T16:00:00+01:00,51.77
O3,2023-01-03T17:00:00+01:00,50.69
O3,2023-01-03T18:00:00+01:00,50.33
O3,2023-01-03T19:00:00+01:00,51.14
O3,2023-01-03T20:00:00+01:00,51.44
O3,2023-01-03T21:00:00+01:00,54.84
O3,2023-01-03T22:00:00+01:00,56.65
O3,2023-01-03T23:00:00+01:00,59.05
O3,2023-01-04T00:00:00+01:00,61.99
O3,2023-01-04T01:00:00+01:00,62.72
O3,2023-01-04T02:00:00+01:00,62.14
O3,2023-01-04T03:00:00+01:00,
O3,2023-01-04T04:00:00+01:00,59.97
O3,2023-01-04T05:00:00+01:00,62.13
O3,2023-01-04T06:00:00+01:00,64.43
O3,2023-01-04T07:00:00+01:00,61.29
O3,2023-01-04T08:00:00+01:00,60.69
O3,2023-01-04T09:00:00+01:00,62.89
O3,2023-01-04T10:00:00+01:00,60.25
O3,2023-01-04T11:00:00+01:00,61.86
O3,2023-01-04T12:00:00+01:00,65.54
O3,2023-01-04T13:00:00+01:00,66.33
O3,2023-01-04T14:00:00+01:00,68.08
O3,2023-01-04T15:00:00+01:00,
O3,2023-01-04T16:00:00+01:00,61.73
O3,2023-01-04T17:00:00+01:00,65.21
O3,2023-01-04T18:00:00+01:00,63.57
O3,2023-01-04T19:00:00+01:00,60.75
O3,2023-01-04T20:00:00+01:00,61.34
O3,2023-01-04T21:00:00+01:00,65.19
O3,2023-01-04T22:00:00+01:00,63.41
O3,2023-01-04T23:00:00+01:00,63.27
O3,2023-01-05T00:00:00+01:00,60.22
O3,2023-01-05T01:00:00+01:00,57.81
O3,2023-01-05T02:00:00+01:00,55.33
O3,2023-01-05T03:00:00+01:00,53.53
O3,2023-01-05T04:00:00+01:00,55.99
O3,2023-01-05T05:00:00+01:00,56.74
O3,2023-01-05T06:00:00+01:00,53.94
O3,2023-01-05T07:00:00+01:00,43.43
O3,2023-01-05T08:00:00+01:00,45.7
O3,2023-01-05T09:00:00+01:00,41.23
O3,2023-01-05T10:00:00+01:00,46.2
O3,2023-01-05T11:00:00+01:00,48.5
O3,2023-01-05T12:00:00+01:00,49.3
O3,2023-01-05T13:00:00+01:00,50.02
O3,2023-01-05T14:00:00+01:00,50.85
O3,2023-01-05T15:00:00+01:00,44.8
O3,2023-01-05T16:00:00+01:00,44.11
O3,2023-01-05T17:00:00+01:00,44.88
O3,2023-01-05T18:00:00+01:00,46.17
O3,2023-01-05T19:00:00+01:00,35.63
O3,2023-01-05T20:00:00+01:00,38.71
O3,2023-01-05T21:00:00+01:00,51.1
O3,2023-01-05T22:00:00+01:00,53.66
O3,2023-01-05T23:00:00+01:00,57.54
O3,2023-01-06T00:00:00+01:00,58.77
O3,2023-01-06T01:00:00+01:00,60.06
O3,2023-01-06T02:00:00+01:00,63.36
O3,2023-01-06T03:00:00+01:00,58.08
O3,2023-01-06T04:00:00+01:00,60.42
O3,2023-01-06T05:00:00+01:00,60.61
O3,2023-01-06T06:00:00+01:00,61.37
O3,2023-01-06T07:00:00+01:00,63.37
O3,2023-01-06T08:00:00+01:00,61.48
O3,2023-01-06T09:00:00+01:00,57.78
O3,2023-01-06T10:00:00+01:00,58.11
O3,2023-01-06T11:00:00+01:00,52.2
O3,2023-01-06T12:00:00+01:00,59.78
O3,2023-01-06T13:00:00+01:00,64.08
O3,2023-01-06T14:00:00+01:00,68.06
O3,2023-01-06T15:00:00+01:00,69.4
O3,2023-01-06T16:00:00+01:00,65.39
O3,2023-01-06T17:00:00+01:00,59.34
O3,2023-01-06T18:00:00+01:00,48.57
O3,2023-01-06T19:00:00+01:00,47.34
O3,2023-01-06T20:00:00+01:00,40.34
O3,2023-01-06T21:00:00+01:00,32.69
O3,2023-01-06T22:00:00+01:00,41.72
O3,2023-01-06T23:00:00+01:00,43.1
O3,2023-01-07T00:00:00+01:00,43.83
O3,2023-01-07T01:00:00+01:00,41.74
O3,2023-01-07T02:00:00+01:00,40.41
O3,2023-01-07T03:00:00+01:00,40.57
O3,2023-01-07T04:00:00+01:00,41.65
O3,2023-01-07T05:00:00+01:00,42.52
O3,2023-01-07T06:00:00+01:00,42.5
O3,2023-01-07T07:00:00+01:00,43.84
O3,2023-01-07T08:00:00+01:00,46.47
O3,2023-01-07T09:00:00+01:00,52.2
O3,2023-01-07T10:00:00+01:00,55.02
O3,2023-01-07T11:00:00+01:00,56.97
O3,2023-01-07T12:00:00+01:00,60.07
O3,2023-01-07T13:00:00+01:00,61.13
O3,2023-01-07T14:00:00+01:00,60.07
O3,2023-01-07T15:00:00+01:00,56.56
O3,2023-01-07T16:00:00+01:00,53.56
O3,2023-01-07T17:00:00+01:00,51.05
O3,2023-01-07T18:00:00+01:00,48.8
O3,2023-01-07T19:00:00+01:00,48.96
O3,2023-01-07T20:00:00+01:00,49.45
O3,2023-01-07T21:00:00+01:00,48.41
O3,2023-01-07T22:00:00+01:00,50.46
O3,2023-01-07T23:00:00+01:00,52.97
O3,2023-01-08T00:00:00+01:00,54.82
O3,2023-01-08T01:00:00+01:00,65.08
O3,2023-01-08T02:00:00+01:00,67.98
O3,2023-01-08T03:00:00+01:00,
O3,2023-01-08T04:00:00+01:00,68.07
O3,2023-01-08T05:00:00+01:00,64.22
O3,2023-01-08T06:00:00+01:00,63.16
O3,2023-01-08T07:00:00+01:00,61.8
O3,2023-01-08T08:00:00+01:00,52.33
O3,2023-01-08T09:00:00+01:00,53.75
O3,2023-01-08T10:00:00+01:00,60.93
O3,2023-01-08T11:00:00+01:00,63.67
O3,2023-01-08T12:00:00+01:00,65.82
O3,2023-01-08T13:00:00+01:00,65.9
O3,2023-01-08T14:00:00+01:00,66.16
O3,2023-01-08T15:00:00+01:00,68.24
O3,2023-01-08T16:00:00+01:00,69.68
O3,2023-01-08T17:00:00+01:00,65.87
O3,2023-01-08T18:00:00+01:00,59.41
O3,2023-01-08T19:00:00+01:00,59.37
O3,2023-01-08T20:00:00+01:00,60.07
O3,2023-01-08T21:00:00+01:00,62.27
O3,2023-01-08T22:00:00+01:00,61.39
O3,2023-01-08T23:00:00+01:00,59.47
O3,2023-01-09T00:00:00+01:00,64.62
O3,2023-01-09T01:00:00+01:00,74.91
O3,2023-01-09T02:00:00+01:00,71.41
O3,2023-01-09T03:00:00+01:00,66.93
O3,2023-01-09T04:00:00+01:00,57.95
O3,2023-01-09T05:00:00+01:00,54.45
O3,2023-01-09T06:00:00+01:00,58.62
O3,2023-01-09T07:00:00+01:00,58.18
O3,2023-01-09T08:00:00+01:00,55.62
O3,2023-01-09T09:00:00+01:00,56.83
O3,2023-01-09T10:00:00+01:00,64.04
O3,2023-01-09T11:00:00+01:00,62.43
O3,2023-01-09T12:00:00+01:00,69.76
O3,2023-01-09T13:00:00+01:00,60.37
O3,2023-01-09T14:00:00+01:00,63.19
O3,2023-01-09T15:00:00+01:00,61.71
O3,2023-01-09T16:00:00+01:00,56.38
O3,2023-01-09T17:00:00+01:00,59.74
O3,2023-01-09T18:00:00+01:00,42.49
O3,2023-01-09T19:00:00+01:00,49.51
O3,2023-01-09T20:00:00+01:00,57.61
O3,2023-01-09T21:00:00+01:00,61.89
O3,2023-01-09T22:00:00+01:00,60.38
O3,2023-01-09T23:00:00+01:00,59.89
O3,2023-01-10T00:00:00+01:00,56.16
O3,2023-01-10T01:00:00+01:00,55.11
O3,2023-01-10T02:00:00+01:00,45.84
O3,2023-01-10T03:00:00+01:00,50.17
O3,2023-01-10T04:00:00+01:00,51.63
O3,2023-01-10T05:00:00+01:00,56.7
O3,2023-01-10T06:00:00+01:00,55.68
O3,2023-01-10T07:00:00+01:00,47.21
O3,2023-01-10T08:00:00+01:00,36.5
O3,2023-01-10T09:00:00+01:00,30.98
O3,2023-01-10T10:00:00+01:00,28.72
O3,2023-01-10T11:00:00+01:00,32.82
O3,2023-01-10T12:00:00+01:00,36.08
O3,2023-01-10T13:00:00+01:00,38.7
O3,2023-01-10T14:00:00+01:00,42.59
O3,2023-01-10T15:00:00+01:00,46.44
O3,2023-01-10T16:00:00+01:00,50.95
O3,2023-01-10T17:00:00+01:00,52.57
O3,2023-01-10T18:00:00+01:00,55.27
O3,2023-01-10T19:00:00+01:00,53.21
O3,2023-01-10T20:00:00+01:00,52.79
O3,2023-01-10T21:00:00+01:00,52.22
O3,2023-01-10T22:00:00+01:00,49.56
O3,2023-01-10T23:00:00+01:00,47.34
O3,2023-01-11T00:00:00+01:00,45.45
O3,2023-01-11T01:00:00+01:00,45.23
O3,2023-01-11T02:00:00+01:00,45.58
O3,2023-01-11T03:00:00+01:00,46.47
O3,2023-01-11T04:00:00+01:00,47.6
O3,2023-01-11T05:00:00+01:00,48.97
O3,2023-01-11T06:00:00+01:00,51.08
O3,2023-01-11T07:00:00+01:00,52.72
O3,2023-01-11T08:00:00+01:00,53.66
O3,2023-01-11T09:00:00+01:00,55.27
O3,2023-01-11T10:00:00+01:00,51.92
O3,2023-01-11T11:00:00+01:00,48.09
O3,2023-01-11T12:00:00+01:00,58.51
O3,2023-01-11T13:00:00+01:00,64.53
O3,2023-01-11T14:00:00+01:00,65.05
O3,2023-01-11T15:00:00+01:00,68.11
O3,2023-01-11T16:00:00+01:00,65.34
O3,2023-01-11T17:00:00+01:00,66.07
O3,2023-01-11T18:00:00+01:00,66.81
O3,2023-01-11T19:00:00+01:00,65.35
O3,2023-01-11T20:00:00+01:00,66.83
O3,2023-01-11T21:00:00+01:00,70.75
O3,2023-01-11T22:00:00+01:00,69.36
O3,2023-01-11T23:00:00+01:00,64.63
O3,2023-01-12T00:00:00+01:00,67.23
O3,2023-01-12T01:00:00+01:00,72.71
O3,2023-01-12T02:00:00+01:00,70.47
O3,2023-01-12T03:00:00+01:00,
O3,2023-01-12T04:00:00+01:00,71.08
O3,2023-01-12T05:00:00+01:00,68.73
O3,2023-01-12T06:00:00+01:00,66.74
O3,2023-01-12T07:00:00+01:00,65.75
O3,2023-01-12T08:00:00+01:00,64.15
O3,2023-01-12T09:00:00+01:00,66.48
O3,2023-01-12T10:00:00+01:00,65.73
O3,2023-01-12T11:00:00+01:00,65.04
O3,2023-01-12T12:00:00+01:00,63.6
O3,2023-01-12T13:00:00+01:00,64.16
O3,2023-01-12T14:00:00+01:00,65.62
O3,2023-01-12T15:00:00+01:00,61.94
O3,2023-01-12T16:00:00+01:00,61.08
O3,2023-01-12T17:00:00+01:00,61.78
O3,2023-01-12T18:00:00+01:00,60.96
O3,2023-01-12T19:00:00+01:00,64.28
O3,2023-01-12T20:00:00+01:00,63.42
O3,2023-01-12T21:00:00+01:00,64.34
O3,2023-01-12T22:00:00+01:00,68.91
O3,2023-01-12T23:00:00+01:00,76.11
O3,2023-01-13T00:00:00+01:00,75.42
O3,2023-01-13T01:00:00+01:00,75.52
O3,2023-01-13T02:00:00+01:00,74.71
O3,2023-01-13T03:00:00+01:00,72.82
O3,2023-01-13T04:00:00+01:00,74.22
O3,2023-01-13T05:00:00+01:00,73.5
O3,2023-01-13T06:00:00+01:00,75.33
O3,2023-01-13T07:00:00+01:00,72.85
O3,2023-01-13T08:00:00+01:00,68.93
O3,2023-01-13T09:00:00+01:00,68.91
O3,2023-01-13T10:00:00+01:00,69.82
O3,2023-01-13T11:00:00+01:00,67.77
O3,2023-01-13T12:00:00+01:00,67.24
O3,2023-01-13T13:00:00+01:00,67.47
O3,2023-01-13T14:00:00+01:00,67.76
O3,2023-01-13T15:00:00+01:00,66.98
O3,2023-01-13T16:00:00+01:00,64.47
O3,2023-01-13T17:00:00+01:00,59.81
O3,2023-01-13T18:00:00+01:00,58.07
O3,2023-01-13T19:00:00+01:00,69.02
O3,2023-01-13T20:00:00+01:00,63.41
O3,2023-01-13T21:00:00+01:00,64.39
O3,2023-01-13T22:00:00+01:00,70.04
O3,2023-01-13T23:00:00+01:00,63.05
O3,2023-01-14T00:00:00+01:00,63.05
O3,2023-01-14T01:00:00+01:00,63.42
O3,2023-01-14T02:00:00+01:00,60.32
O3,2023-01-14T03:00:00+01:00,56.4
O3,2023-01-14T04:00:00+01:00,54.76
O3,2023-01-14T05:00:00+01:00,48.68
O3,2023-01-14T06:00:00+01:00,43.29
O3,2023-01-14T07:00:00+01:00,48.93
O3,2023-01-14T08:00:00+01:00,54.52
O3,2023-01-14T09:00:00+01:00,55.76
O3,2023-01-14T10:00:00+01:00,54.99
O3,2023-01-14T11:00:00+01:00,54.22
O3,2023-01-14T12:00:00+01:00,56.84
O3,2023-01-14T13:00:00+01:00,62.9
O3,2023-01-14T14:00:00+01:00,60.88
O3,2023-01-14T15:00:00+01:00,60.24
O3,2023-01-14T16:00:00+01:00,57.88
O3,2023-01-14T17:00:00+01:00,56.05
O3,2023-01-14T18:00:00+01:00,52.64
O3,2023-01-14T19:00:00+01:00,55.54
O3,2023-01-14T20:00:00+01:00,63.53
O3,2023-01-14T21:00:00+01:00,73.61
O3,2023-01-14T22:00:00+01:00,72.29
O3,2023-01-14T23:00:00+01:00,66.68
O3,2023-01-15T00:00:00+01:00,66.79
O3,2023-01-15T01:00:00+01:00,65.11
O3,2023-01-15T02:00:00+01:00,68.05
O3,2023-01-15T03:00:00+01:00,69.19
O3,2023-01-15T04:00:00+01:00,71.26
O3,2023-01-15T05:00:00+01:00,71.17
O3,2023-01-15T06:00:00+01:00,71.79
O3,2023-01-15T07:00:00+01:00,72.99
O3,2023-01-15T08:00:00+01:00,75.01
O3,2023-01-15T09:00:00+01:00,75.59
O3,2023-01-15T10:00:00+01:00,76.06
O3,2023-01-15T11:00:00+01:00,74.41
O3,2023-01-15T12:00:00+01:00,72.61
O3,2023-01-15T13:00:00+01:00,71.62
O3,2023-01-15T14:00:00+01:00,71.4
O3,2023-01-15T15:00:00+01:00,70.58
O3,2023-01-15T16:00:00+01:00,69.93
O3,2023-01-15T17:00:00+01:00,70.29
O3,2023-01-15T18:00:00+01:00,71.11
O3,2023-01-15T19:00:00+01:00,70.16
O3,2023-01-15T20:00:00+01:00,67.26
O3,2023-01-15T21:00:00+01:00,71.03
O3,2023-01-15T22:00:00+01:00,70.37
O3,2023-01-15T23:00:00+01:00,59.9
O3,2023-01-16T00:00:00+01:00,55.47
O3,2023-01-16T01:00:00+01:00,60.97
O3,2023-01-16T02:00:00+01:00,60.53
O3,2023-01-16T03:00:00+01:00,
O3,2023-01-16T04:00:00+01:00,58.84
O3,2023-01-16T05:00:00+01:00,60.74
O3,2023-01-16T06:00:00+01:00,57.28
O3,2023-01-16T07:00:00+01:00,53.95
O3,2023-01-16T08:00:00+01:00,49.41
O3,2023-01-16T09:00:00+01:00,53.63
O3,2023-01-16T10:00:00+01:00,56.15
O3,2023-01-16T11:00:00+01:00,53.82
O3,2023-01-16T12:00:00+01:00,53.97
O3,2023-01-16T13:00:00+01:00,51.34
O3,2023-01-16T14:00:00+01:00,48.09
O3,2023-01-16T15:00:00+01:00,43.63
O3,2023-01-16T16:00:00+01:00,39.48
O3,2023-01-16T17:00:00+01:00,41.45
O3,2023-01-16T18:00:00+01:00,35.97
O3,2023-01-16T19:00:00+01:00,44.85
O3,2023-01-16T20:00:00+01:00,46.09
O3,2023-01-16T21:00:00+01:00,46.23
O3,2023-01-16T22:00:00+01:00,60.1
O3,2023-01-16T23:00:00+01:00,72.58
O3,2023-01-17T00:00:00+01:00,74.95
O3,2023-01-17T01:00:00+01:00,78.82
O3,2023-01-17T02:00:00+01:00,78.15
O3,2023-01-17T03:00:00+01:00,72.84
O3,2023-01-17T04:00:00+01:00,63.16
O3,2023-01-17T05:00:00+01:00,59.22
O3,2023-01-17T06:00:00+01:00,57.06
O3,2023-01-17T07:00:00+01:00,50.32
O3,2023-01-17T08:00:00+01:00,28.65
O3,2023-01-17T09:00:00+01:00,16.13
O3,2023-01-17T10:00:00+01:00,17.68
O3,2023-01-17T11:00:00+01:00,26.64
O3,2023-01-17T12:00:00+01:00,27.31
O3,2023-01-17T13:00:00+01:00,30.11
O3,2023-01-17T14:00:00+01:00,34.07
O3,2023-01-17T15:00:00+01:00,37.85
O3,2023-01-17T16:00:00+01:00,37.87
O3,2023-01-17T17:00:00+01:00,27.91
O3,2023-01-17T18:00:00+01:00,14.25
O3,2023-01-17T19:00:00+01:00,17.05
O3,2023-01-17T20:00:00+01:00,15.43
O3,2023-01-17T21:00:00+01:00,8.91
O3,2023-01-17T22:00:00+01:00,9.34
O3,2023-01-17T23:00:00+01:00,25.93
O3,2023-01-18T00:00:00+01:00,13.58
O3,2023-01-18T01:00:00+01:00,9.93
O3,2023-01-18T02:00:00+01:00,8.2
O3,2023-01-18T03:00:00+01:00,10.26
O3,2023-01-18T04:00:00+01:00,18.3
O3,2023-01-18T05:00:00+01:00,8.06
O3,2023-01-18T06:00:00+01:00,17.04
O3,2023-01-18T07:00:00+01:00,17.12
O3,2023-01-18T08:00:00+01:00,9.25
O3,2023-01-18T09:00:00+01:00,15.56
O3,2023-01-18T10:00:00+01:00,17.88
O3,2023-01-18T11:00:00+01:00,20.5
O3,2023-01-18T12:00:00+01:00,26.22
O3,2023-01-18T13:00:00+01:00,29.45
O3,2023-01-18T14:00:00+01:00,35.22
O3,2023-01-18T15:00:00+01:00,48.16
O3,2023-01-18T16:00:00+01:00,46.73
O3,2023-01-18T17:00:00+01:00,43.17
O3,2023-01-18T18:00:00+01:00,37.19
O3,2023-01-18T19:00:00+01:00,43.31
O3,2023-01-18T20:00:00+01:00,40.34
O3,2023-01-18T21:00:00+01:00,39.7
O3,2023-01-18T22:00:00+01:00,39.58
O3,2023-01-18T23:00:00+01:00,50.61
O3,2023-01-19T00:00:00+01:00,60.33
O3,2023-01-19T01:00:00+01:00,43.78
O3,2023-01-19T02:00:00+01:00,48.42
O3,2023-01-19T03:00:00+01:00,69.74
O3,2023-01-19T04:00:00+01:00,75.46
O3,2023-01-19T05:00:00+01:00,71.92
O3,2023-01-19T06:00:00+01:00,68.43
O3,2023-01-19T07:00:00+01:00,57.51
O3,2023-01-19T08:00:00+01:00,35.71
O3,2023-01-19T09:00:00+01:00,19.23
O3,2023-01-19T10:00:00+01:00,35.16
O3,2023-01-19T11:00:00+01:00,47.12
O3,2023-01-19T12:00:00+01:00,52.78
O3,2023-01-19T13:00:00+01:00,60.23
O3,2023-01-19T14:00:00+01:00,63.21
O3,2023-01-19T15:00:00+01:00,59.1
O3,2023-01-19T16:00:00+01:00,59.25
O3,2023-01-19T17:00:00+01:00,59.79
O3,2023-01-19T18:00:00+01:00,39.59
O3,2023-01-19T19:00:00+01:00,23.67
O3,2023-01-19T20:00:00+01:00,42.13
O3,2023-01-19T21:00:00+01:00,60.11
O3,2023-01-19T22:00:00+01:00,56.17
O3,2023-01-19T23:00:00+01:00,52.3
O3,2023-01-20T00:00:00+01:00,49.11
O3,2023-01-20T01:00:00+01:00,55.3
O3,2023-01-20T02:00:00+01:00,47.27
O3,2023-01-20T03:00:00+01:00,
O3,2023-01-20T04:00:00+01:00,24.84
O3,2023-01-20T05:00:00+01:00,24.27
O3,2023-01-20T06:00:00+01:00,21.92
O3,2023-01-20T07:00:00+01:00,15.15
O3,2023-01-20T08:00:00+01:00,8.64
O3,2023-01-20T09:00:00+01:00,8.08
O3,2023-01-20T10:00:00+01:00,9.86
O3,2023-01-20T11:00:00+01:00,11.22
O3,2023-01-20T12:00:00+01:00,8.75
O3,2023-01-20T13:00:00+01:00,13.08
O3,2023-01-20T14:00:00+01:00,13.41
O3,2023-01-20T15:00:00+01:00,15.31
O3,2023-01-20T16:00:00+01:00,13.88
O3,2023-01-20T17:00:00+01:00,16.18
O3,2023-01-20T18:00:00+01:00,13.86
O3,2023-01-20T19:00:00+01:00,17.37
O3,2023-01-20T20:00:00+01:00,20.68
O3,2023-01-20T21:00:00+01:00,21.86
O3,2023-01-20T22:00:00+01:00,28.76
O3,2023-01-20T23:00:00+01:00,30.69
O3,2023-01-21T00:00:00+01:00,28.38
O3,2023-01-21T01:00:00+01:00,27.95
O3,2023-01-21T02:00:00+01:00,32.73
O3,2023-01-21T03:00:00+01:00,34.83
O3,2023-01-21T04:00:00+01:00,36.56
O3,2023-01-21T05:00:00+01:00,33.54
O3,2023-01-21T06:00:00+01:00,30.28
O3,2023-01-21T07:00:00+01:00,26.56
O3,2023-01-21T08:00:00+01:00,24.19
O3,2023-01-21T09:00:00+01:00,29.64
O3,2023-01-21T10:00:00+01:00,27.52
O3,2023-01-21T11:00:00+01:00,23.81
O3,2023-01-21T12:00:00+01:00,25.41
O3,2023-01-21T13:00:00+01:00,33.26
O3,2023-01-21T14:00:00+01:00,36.18
O3,2023-01-21T15:00:00+01:00,37.57
O3,2023-01-21T16:00:00+01:00,36.96
O3,2023-01-21T17:00:00+01:00,38.47
O3,2023-01-21T18:00:00+01:00,37.31
O3,2023-01-21T19:00:00+01:00,38.05
O3,2023-01-21T20:00:00+01:00,37.35
O3,2023-01-21T21:00:00+01:00,35.53
O3,2023-01-21T22:00:00+01:00,34.01
O3,2023-01-21T23:00:00+01:00,26.71
O3,2023-01-22T00:00:00+01:00,22.89
O3,2023-01-22T01:00:00+01:00,16.22
O3,2023-01-22T02:00:00+01:00,16.03
O3,2023-01-22T03:00:00+01:00,40.08
O3,2023-01-22T04:00:00+01:00,45.11
O3,2023-01-22T05:00:00+01:00,47.89
O3,2023-01-22T06:00:00+01:00,47.07
O3,2023-01-22T07:00:00+01:00,46.24
O3,2023-01-22T08:00:00+01:00,49.18
O3,2023-01-22T09:00:00+01:00,53.26
O3,2023-01-22T10:00:00+01:00,51.8
O3,2023-01-22T11:00:00+01:00,50.29
O3,2023-01-22T12:00:00+01:00,50.12
O3,2023-01-22T13:00:00+01:00,48.62
O3,2023-01-22T14:00:00+01:00,45.36
O3,2023-01-22T15:00:00+01:00,43.77
O3,2023-01-22T16:00:00+01:00,45.18
O3,2023-01-22T17:00:00+01:00,40.71
O3,2023-01-22T18:00:00+01:00,38.35
O3,2023-01-22T19:00:00+01:00,31.93
O3,2023-01-22T20:00:00+01:00,29.21
O3,2023-01-22T21:00:00+01:00,29.67
O3,2023-01-22T22:00:00+01:00,30.02
O3,2023-01-22T23:00:00+01:00,31.49
O3,2023-01-23T00:00:00+01:00,34.67
O3,2023-01-23T01:00:00+01:00,33.62
O3,2023-01-23T02:00:00+01:00,32.49
O3,2023-01-23T03:00:00+01:00,30.96
O3,2023-01-23T04:00:00+01:00,30.79
O3,2023-01-23T05:00:00+01:00,30.1
O3,2023-01-23T06:00:00+01:00,28.43
O3,2023-01-23T07:00:00+01:00,24.75
O3,2023-01-23T08:00:00+01:00,18.35
O3,2023-01-23T09:00:00+01:00,11.9
O3,2023-01-23T10:00:00+01:00,10.07
O3,2023-01-23T11:00:00+01:00,12.14
O3,2023-01-23T12:00:00+01:00,17.57
O3,2023-01-23T13:00:00+01:00,28.79
O3,2023-01-23T14:00:00+01:00,31.74
O3,2023-01-23T15:00:00+01:00,31.61
O3,2023-01-23T16:00:00+01:00,25.89
O3,2023-01-23T17:00:00+01:00,24.75
O3,2023-01-23T18:00:00+01:00,24.93
O3,2023-01-23T19:00:00+01:00,21.59
O3,2023-01-23T20:00:00+01:00,25.64
O3,2023-01-23T21:00:00+01:00,27.01
O3,2023-01-23T22:00:00+01:00,32.56
O3,2023-01-23T23:00:00+01:00,35.27
O3,2023-01-24T00:00:00+01:00,40.13
O3,2023-01-24T01:00:00+01:00,41.4
O3,2023-01-24T02:00:00+01:00,42.35
O3,2023-01-24T03:00:00+01:00,
O3,2023-01-24T04:00:00+01:00,44.0
O3,2023-01-24T05:00:00+01:00,44.1
O3,2023-01-24T06:00:00+01:00,41.63
O3,2023-01-24T07:00:00+01:00,39.35
O3,2023-01-24T08:00:00+01:00,35.28
O3,2023-01-24T09:00:00+01:00,29.9
O3,2023-01-24T10:00:00+01:00,34.03
O3,2023-01-24T11:00:00+01:00,34.29
O3,2023-01-24T12:00:00+01:00,36.33
O3,2023-01-24T13:00:00+01:00,35.47
O3,2023-01-24T14:00:00+01:00,40.6
O3,2023-01-24T15:00:00+01:00,41.59
O3,2023-01-24T16:00:00+01:00,37.56
O3,2023-01-24T17:00:00+01:00,41.53
O3,2023-01-24T18:00:00+01:00,40.38
O3,2023-01-24T19:00:00+01:00,38.27
O3,2023-01-24T20:00:00+01:00,37.4
O3,2023-01-24T21:00:00+01:00,39.68
O3,2023-01-24T22:00:00+01:00,39.6
O3,2023-01-24T23:00:00+01:00,38.36
O3,2023-01-25T00:00:00+01:00,39.85
O3,2023-01-25T01:00:00+01:00,42.88
O3,2023-01-25T02:00:00+01:00,41.97
O3,2023-01-25T03:00:00+01:00,42.83
O3,2023-01-25T04:00:00+01:00,41.5
O3,2023-01-25T05:00:00+01:00,39.4
O3,2023-01-25T06:00:00+01:00,38.96
O3,2023-01-25T07:00:00+01:00,35.77
